epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552339627521,2019-03-11T17.27.07.521,0.000,0.875,0.161,0.438
1552339627601,2019-03-11T17.27.07.601,0.080,0.898,0.166,0.448
1552339627681,2019-03-11T17.27.07.681,0.160,0.896,0.187,0.449
1552339627761,2019-03-11T17.27.07.761,0.240,0.888,0.177,0.444
1552339627841,2019-03-11T17.27.07.841,0.320,0.898,0.167,0.435
1552339627921,2019-03-11T17.27.07.921,0.400,0.897,0.178,0.432
1552339628001,2019-03-11T17.27.08.001,0.480,0.896,0.185,0.433
1552339628081,2019-03-11T17.27.08.081,0.560,0.899,0.191,0.428
1552339628161,2019-03-11T17.27.08.161,0.640,0.896,0.191,0.432
1552339628241,2019-03-11T17.27.08.241,0.720,0.899,0.188,0.430
1552339628321,2019-03-11T17.27.08.321,0.800,0.898,0.194,0.415
1552339628401,2019-03-11T17.27.08.401,0.880,0.898,0.185,0.441
1552339628481,2019-03-11T17.27.08.481,0.960,0.900,0.194,0.429
1552339628561,2019-03-11T17.27.08.561,1.040,0.892,0.189,0.435
1552339628641,2019-03-11T17.27.08.641,1.120,0.883,0.166,0.441
1552339628721,2019-03-11T17.27.08.721,1.200,0.878,0.203,0.463
1552339628801,2019-03-11T17.27.08.801,1.280,0.908,0.210,0.424
1552339628881,2019-03-11T17.27.08.881,1.360,0.891,0.202,0.419
1552339628961,2019-03-11T17.27.08.961,1.440,0.906,0.189,0.419
1552339629041,2019-03-11T17.27.09.041,1.520,0.901,0.195,0.417
1552339629121,2019-03-11T17.27.09.121,1.600,0.892,0.202,0.420
1552339629201,2019-03-11T17.27.09.201,1.680,0.917,0.201,0.426
1552339629281,2019-03-11T17.27.09.281,1.760,0.896,0.190,0.412
1552339629361,2019-03-11T17.27.09.361,1.840,0.905,0.209,0.422
1552339629441,2019-03-11T17.27.09.441,1.920,0.905,0.212,0.405
1552339629521,2019-03-11T17.27.09.521,2.000,0.887,0.200,0.420
1552339629601,2019-03-11T17.27.09.601,2.080,0.886,0.210,0.440
1552339629681,2019-03-11T17.27.09.681,2.160,0.905,0.219,0.447
1552339629761,2019-03-11T17.27.09.761,2.240,0.917,0.219,0.432
1552339629841,2019-03-11T17.27.09.841,2.320,0.873,0.210,0.477
1552339629921,2019-03-11T17.27.09.921,2.400,0.878,0.205,0.481
1552339630001,2019-03-11T17.27.10.001,2.480,0.859,0.204,0.480
1552339630081,2019-03-11T17.27.10.081,2.560,0.824,0.204,0.429
1552339630161,2019-03-11T17.27.10.161,2.640,0.817,0.197,0.471
1552339630241,2019-03-11T17.27.10.241,2.720,0.826,0.235,0.565
1552339630321,2019-03-11T17.27.10.321,2.800,0.869,0.317,0.502
1552339630401,2019-03-11T17.27.10.401,2.880,0.820,0.386,0.422
