epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552339061297,2019-03-11T17.17.41.297,0.000,0.943,0.253,0.248
1552339061377,2019-03-11T17.17.41.377,0.080,0.951,0.249,0.252
1552339061457,2019-03-11T17.17.41.457,0.160,0.951,0.257,0.252
1552339061537,2019-03-11T17.17.41.537,0.240,0.950,0.266,0.252
1552339061617,2019-03-11T17.17.41.617,0.320,0.949,0.248,0.246
1552339061697,2019-03-11T17.17.41.697,0.400,0.955,0.249,0.243
1552339061777,2019-03-11T17.17.41.777,0.480,0.954,0.255,0.244
1552339061857,2019-03-11T17.17.41.857,0.560,0.952,0.256,0.241
1552339061937,2019-03-11T17.17.41.937,0.640,0.946,0.271,0.249
1552339062017,2019-03-11T17.17.42.017,0.720,0.947,0.279,0.264
1552339062097,2019-03-11T17.17.42.097,0.800,0.949,0.287,0.277
1552339062177,2019-03-11T17.17.42.177,0.880,0.913,0.292,0.281
1552339062257,2019-03-11T17.17.42.257,0.960,0.930,0.238,0.269
1552339062337,2019-03-11T17.17.42.337,1.040,0.941,0.240,0.252
1552339062417,2019-03-11T17.17.42.417,1.120,0.927,0.267,0.261
1552339062497,2019-03-11T17.17.42.497,1.200,0.956,0.233,0.235
1552339062577,2019-03-11T17.17.42.577,1.280,0.973,0.250,0.201
1552339062657,2019-03-11T17.17.42.657,1.360,0.963,0.277,0.188
1552339062737,2019-03-11T17.17.42.737,1.440,0.978,0.289,0.182
1552339062817,2019-03-11T17.17.42.817,1.520,0.886,0.311,0.100
1552339062897,2019-03-11T17.17.42.897,1.600,0.834,0.436,-0.021
1552339062977,2019-03-11T17.17.42.977,1.680,0.963,0.562,-0.102
1552339063057,2019-03-11T17.17.43.057,1.760,1.031,0.537,-0.041
1552339063137,2019-03-11T17.17.43.137,1.840,0.904,0.455,0.026
1552339063217,2019-03-11T17.17.43.217,1.920,0.877,0.439,0.084
1552339063297,2019-03-11T17.17.43.297,2.000,0.863,0.430,0.095
1552339063377,2019-03-11T17.17.43.377,2.080,0.910,0.435,0.099
1552339063457,2019-03-11T17.17.43.457,2.160,0.933,0.399,0.121
1552339063537,2019-03-11T17.17.43.537,2.240,0.935,0.347,0.159
1552339063617,2019-03-11T17.17.43.617,2.320,0.906,0.282,0.148
1552339063697,2019-03-11T17.17.43.697,2.400,0.946,0.267,0.154
1552339063777,2019-03-11T17.17.43.777,2.480,1.030,0.267,0.224
1552339063857,2019-03-11T17.17.43.857,2.560,0.970,0.255,0.214
1552339063937,2019-03-11T17.17.43.937,2.640,0.952,0.237,0.184
1552339064017,2019-03-11T17.17.44.017,2.720,0.973,0.221,0.149
1552339064097,2019-03-11T17.17.44.097,2.800,1.054,0.289,0.152
1552339064177,2019-03-11T17.17.44.177,2.880,1.010,0.367,0.116
1552339064257,2019-03-11T17.17.44.257,2.960,0.821,0.382,0.066
1552339064337,2019-03-11T17.17.44.337,3.040,0.965,0.329,0.120
1552339064417,2019-03-11T17.17.44.417,3.120,0.917,0.321,0.128
1552339064497,2019-03-11T17.17.44.497,3.200,0.908,0.376,0.136
1552339064577,2019-03-11T17.17.44.577,3.280,0.892,0.399,0.111
1552339064657,2019-03-11T17.17.44.657,3.360,0.872,0.378,0.145
1552339064737,2019-03-11T17.17.44.737,3.440,0.836,0.318,0.185
1552339064817,2019-03-11T17.17.44.817,3.520,0.774,0.279,0.095
1552339064897,2019-03-11T17.17.44.897,3.600,0.741,0.333,-0.072
1552339064977,2019-03-11T17.17.44.977,3.680,0.857,0.373,-0.139
1552339065057,2019-03-11T17.17.45.057,3.760,0.896,0.361,-0.178
1552339065137,2019-03-11T17.17.45.137,3.840,0.862,0.400,-0.174
1552339065217,2019-03-11T17.17.45.217,3.920,0.762,0.501,-0.121
1552339065297,2019-03-11T17.17.45.297,4.000,0.690,0.582,-0.088
1552339065377,2019-03-11T17.17.45.377,4.080,0.591,0.662,-0.011
1552339065457,2019-03-11T17.17.45.457,4.160,0.575,0.532,0.050
1552339065537,2019-03-11T17.17.45.537,4.240,0.713,0.674,0.084
1552339065617,2019-03-11T17.17.45.617,4.320,0.974,0.084,0.431
1552339065697,2019-03-11T17.17.45.697,4.400,1.869,-1.233,0.988
1552339065777,2019-03-11T17.17.45.777,4.480,0.901,-1.373,0.630
1552339065857,2019-03-11T17.17.45.857,4.560,0.623,-0.249,0.108
1552339065937,2019-03-11T17.17.45.937,4.640,1.069,-0.560,0.128
1552339066017,2019-03-11T17.17.46.017,4.720,1.065,-0.864,0.158
