epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552339899761,2019-03-11T17.31.39.761,0.000,0.910,0.293,0.316
1552339899841,2019-03-11T17.31.39.841,0.080,0.920,0.294,0.315
1552339899921,2019-03-11T17.31.39.921,0.160,0.923,0.290,0.304
1552339900001,2019-03-11T17.31.40.001,0.240,0.924,0.292,0.292
1552339900081,2019-03-11T17.31.40.081,0.320,0.926,0.293,0.289
1552339900161,2019-03-11T17.31.40.161,0.400,0.928,0.289,0.285
1552339900241,2019-03-11T17.31.40.241,0.480,0.930,0.291,0.281
1552339900321,2019-03-11T17.31.40.321,0.560,0.935,0.293,0.279
1552339900401,2019-03-11T17.31.40.401,0.640,0.935,0.288,0.276
1552339900481,2019-03-11T17.31.40.481,0.720,0.932,0.286,0.276
1552339900561,2019-03-11T17.31.40.561,0.800,0.933,0.287,0.279
1552339900641,2019-03-11T17.31.40.641,0.880,0.931,0.285,0.282
1552339900721,2019-03-11T17.31.40.721,0.960,0.926,0.283,0.291
1552339900801,2019-03-11T17.31.40.801,1.040,0.917,0.288,0.307
1552339900881,2019-03-11T17.31.40.881,1.120,0.915,0.288,0.311
1552339900961,2019-03-11T17.31.40.961,1.200,0.933,0.280,0.313
1552339901041,2019-03-11T17.31.41.041,1.280,0.911,0.283,0.286
1552339901121,2019-03-11T17.31.41.121,1.360,0.920,0.287,0.269
1552339901201,2019-03-11T17.31.41.201,1.440,0.923,0.283,0.284
1552339901281,2019-03-11T17.31.41.281,1.520,0.913,0.292,0.292
1552339901361,2019-03-11T17.31.41.361,1.600,0.875,0.291,0.296
1552339901441,2019-03-11T17.31.41.441,1.680,0.869,0.257,0.279
1552339901521,2019-03-11T17.31.41.521,1.760,0.833,0.254,0.247
1552339901601,2019-03-11T17.31.41.601,1.840,0.730,0.213,0.194
1552339901681,2019-03-11T17.31.41.681,1.920,0.458,0.142,0.124
1552339901761,2019-03-11T17.31.41.761,2.000,0.323,0.155,-0.141
1552339901841,2019-03-11T17.31.41.841,2.080,0.717,0.332,-0.487
1552339901921,2019-03-11T17.31.41.921,2.160,0.964,0.375,-0.548
1552339902001,2019-03-11T17.31.42.001,2.240,1.048,0.533,-0.537
1552339902081,2019-03-11T17.31.42.081,2.320,1.499,0.824,-0.765
1552339902161,2019-03-11T17.31.42.161,2.400,1.977,0.921,-0.372
1552339902241,2019-03-11T17.31.42.241,2.480,1.553,0.794,-0.163
1552339902321,2019-03-11T17.31.42.321,2.560,0.333,0.167,-0.016
1552339902401,2019-03-11T17.31.42.401,2.640,-0.350,-0.146,-0.244
1552339902481,2019-03-11T17.31.42.481,2.720,-0.261,-0.069,-0.403
1552339902561,2019-03-11T17.31.42.561,2.800,-0.102,-0.007,-0.303
1552339902641,2019-03-11T17.31.42.641,2.880,2.365,-1.677,0.909
1552339902721,2019-03-11T17.31.42.721,2.960,0.679,-1.590,1.179
1552339902801,2019-03-11T17.31.42.801,3.040,0.620,-1.407,0.047
1552339902881,2019-03-11T17.31.42.881,3.120,0.643,-0.778,-0.228
1552339902961,2019-03-11T17.31.42.961,3.200,1.181,-0.776,-0.242
1552339903041,2019-03-11T17.31.43.041,3.280,0.707,-0.751,-0.006
1552339903121,2019-03-11T17.31.43.121,3.360,0.577,-0.674,0.201
1552339903201,2019-03-11T17.31.43.201,3.440,0.571,-0.711,0.073
1552339903281,2019-03-11T17.31.43.281,3.520,0.456,-0.779,-0.042
1552339903361,2019-03-11T17.31.43.361,3.600,0.553,-0.978,-0.004
1552339903441,2019-03-11T17.31.43.441,3.680,0.630,-0.673,0.212
1552339903521,2019-03-11T17.31.43.521,3.760,0.831,-0.813,0.116
1552339903601,2019-03-11T17.31.43.601,3.840,0.623,-0.838,-0.001
1552339903681,2019-03-11T17.31.43.681,3.920,0.380,-0.852,-0.006
1552339903761,2019-03-11T17.31.43.761,4.000,0.487,-0.825,-0.078
1552339903841,2019-03-11T17.31.43.841,4.080,0.578,-0.839,0.151
1552339903921,2019-03-11T17.31.43.921,4.160,0.537,-0.840,0.079
1552339904001,2019-03-11T17.31.44.001,4.240,0.487,-0.820,-0.016
1552339904081,2019-03-11T17.31.44.081,4.320,0.519,-0.837,0.042
1552339904161,2019-03-11T17.31.44.161,4.400,0.526,-0.839,0.070
1552339904241,2019-03-11T17.31.44.241,4.480,0.521,-0.826,0.036
1552339904321,2019-03-11T17.31.44.321,4.560,0.521,-0.835,0.039
