epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552339170436,2019-03-11T17.19.30.436,0.000,0.959,0.137,0.265
1552339170516,2019-03-11T17.19.30.516,0.080,0.946,0.185,0.308
1552339170596,2019-03-11T17.19.30.596,0.160,0.892,0.190,0.328
1552339170676,2019-03-11T17.19.30.676,0.240,0.919,0.201,0.320
1552339170756,2019-03-11T17.19.30.756,0.320,0.924,0.200,0.326
1552339170836,2019-03-11T17.19.30.836,0.400,0.930,0.186,0.318
1552339170916,2019-03-11T17.19.30.916,0.480,0.955,0.162,0.296
1552339170996,2019-03-11T17.19.30.996,0.560,0.971,0.137,0.279
1552339171076,2019-03-11T17.19.31.076,0.640,0.979,0.118,0.260
1552339171156,2019-03-11T17.19.31.156,0.720,0.964,0.119,0.258
1552339171236,2019-03-11T17.19.31.236,0.800,0.974,0.116,0.254
1552339171316,2019-03-11T17.19.31.316,0.880,0.991,0.099,0.249
1552339171396,2019-03-11T17.19.31.396,0.960,0.979,0.114,0.257
1552339171476,2019-03-11T17.19.31.476,1.040,0.967,0.112,0.274
1552339171556,2019-03-11T17.19.31.556,1.120,0.946,0.104,0.297
1552339171636,2019-03-11T17.19.31.636,1.200,0.962,0.124,0.291
1552339171716,2019-03-11T17.19.31.716,1.280,0.960,0.117,0.283
1552339171796,2019-03-11T17.19.31.796,1.360,0.961,0.114,0.287
1552339171876,2019-03-11T17.19.31.876,1.440,0.973,0.119,0.296
1552339171956,2019-03-11T17.19.31.956,1.520,0.966,0.126,0.303
1552339172036,2019-03-11T17.19.32.036,1.600,0.952,0.137,0.293
1552339172116,2019-03-11T17.19.32.116,1.680,0.942,0.159,0.288
1552339172196,2019-03-11T17.19.32.196,1.760,0.953,0.163,0.299
1552339172276,2019-03-11T17.19.32.276,1.840,0.949,0.142,0.304
1552339172356,2019-03-11T17.19.32.356,1.920,0.924,0.114,0.274
1552339172436,2019-03-11T17.19.32.436,2.000,0.954,0.061,0.263
1552339172516,2019-03-11T17.19.32.516,2.080,0.988,0.071,0.274
1552339172596,2019-03-11T17.19.32.596,2.160,0.978,0.104,0.240
1552339172676,2019-03-11T17.19.32.676,2.240,0.976,0.108,0.125
1552339172756,2019-03-11T17.19.32.756,2.320,1.056,0.148,0.130
1552339172836,2019-03-11T17.19.32.836,2.400,0.986,0.258,0.183
1552339172916,2019-03-11T17.19.32.916,2.480,0.913,0.298,0.104
1552339172996,2019-03-11T17.19.32.996,2.560,0.925,0.310,0.127
1552339173076,2019-03-11T17.19.33.076,2.640,0.994,0.289,0.159
1552339173156,2019-03-11T17.19.33.156,2.720,0.920,0.315,0.120
1552339173236,2019-03-11T17.19.33.236,2.800,0.921,0.308,0.102
1552339173316,2019-03-11T17.19.33.316,2.880,0.928,0.299,0.118
1552339173396,2019-03-11T17.19.33.396,2.960,0.844,0.268,0.119
1552339173476,2019-03-11T17.19.33.476,3.040,0.727,0.211,0.083
1552339173556,2019-03-11T17.19.33.556,3.120,0.705,0.187,-0.004
1552339173636,2019-03-11T17.19.33.636,3.200,0.892,0.261,-0.132
1552339173716,2019-03-11T17.19.33.716,3.280,1.043,0.313,-0.183
1552339173796,2019-03-11T17.19.33.796,3.360,1.056,0.414,-0.154
1552339173876,2019-03-11T17.19.33.876,3.440,0.956,0.384,-0.164
1552339173956,2019-03-11T17.19.33.956,3.520,0.834,0.400,-0.080
1552339174036,2019-03-11T17.19.34.036,3.600,0.526,0.417,0.013
1552339174116,2019-03-11T17.19.34.116,3.680,0.349,0.522,0.004
1552339174196,2019-03-11T17.19.34.196,3.760,0.386,1.052,0.115
1552339174276,2019-03-11T17.19.34.276,3.840,1.017,0.615,0.554
1552339174356,2019-03-11T17.19.34.356,3.920,0.942,-1.321,0.751
1552339174436,2019-03-11T17.19.34.436,4.000,1.128,-2.203,0.815
1552339174516,2019-03-11T17.19.34.516,4.080,0.631,-1.090,0.133
1552339174596,2019-03-11T17.19.34.596,4.160,0.962,-0.692,-0.328
1552339174676,2019-03-11T17.19.34.676,4.240,0.927,-0.981,-0.259
1552339174756,2019-03-11T17.19.34.756,4.320,0.577,-0.673,-0.075
1552339174836,2019-03-11T17.19.34.836,4.400,0.696,-0.608,-0.141
1552339174916,2019-03-11T17.19.34.916,4.480,0.695,-0.707,-0.027
1552339174996,2019-03-11T17.19.34.996,4.560,0.756,-0.445,-0.019
1552339175076,2019-03-11T17.19.35.076,4.640,1.057,-0.618,-0.276
1552339175156,2019-03-11T17.19.35.156,4.720,0.753,-0.621,-0.194
1552339175236,2019-03-11T17.19.35.236,4.800,0.669,-0.618,-0.148
1552339175316,2019-03-11T17.19.35.316,4.880,0.717,-0.676,-0.255
1552339175396,2019-03-11T17.19.35.396,4.960,0.724,-0.700,-0.284
1552339175476,2019-03-11T17.19.35.476,5.040,0.712,-0.645,-0.169
1552339175556,2019-03-11T17.19.35.556,5.120,0.699,-0.678,-0.222
1552339175636,2019-03-11T17.19.35.636,5.200,0.702,-0.658,-0.222
1552339175716,2019-03-11T17.19.35.716,5.280,0.705,-0.658,-0.199
1552339175796,2019-03-11T17.19.35.796,5.360,0.708,-0.660,-0.207
1552339175876,2019-03-11T17.19.35.876,5.440,0.702,-0.658,-0.221
1552339175956,2019-03-11T17.19.35.956,5.520,0.706,-0.656,-0.228
1552339176036,2019-03-11T17.19.36.036,5.600,0.716,-0.653,-0.228
1552339176116,2019-03-11T17.19.36.116,5.680,0.713,-0.645,-0.241
1552339176196,2019-03-11T17.19.36.196,5.760,0.713,-0.630,-0.250
1552339176276,2019-03-11T17.19.36.276,5.840,0.742,-0.620,-0.238
1552339176356,2019-03-11T17.19.36.356,5.920,0.718,-0.615,-0.295
1552339176436,2019-03-11T17.19.36.436,6.000,0.750,-0.580,-0.291
1552339176516,2019-03-11T17.19.36.516,6.080,0.755,-0.568,-0.301
1552339176596,2019-03-11T17.19.36.596,6.160,0.782,-0.578,-0.298
1552339176676,2019-03-11T17.19.36.676,6.240,0.763,-0.570,-0.266
1552339176756,2019-03-11T17.19.36.756,6.320,0.764,-0.576,-0.225
1552339176836,2019-03-11T17.19.36.836,6.400,0.767,-0.566,-0.190
1552339176916,2019-03-11T17.19.36.916,6.480,0.775,-0.572,-0.207
1552339176996,2019-03-11T17.19.36.996,6.560,0.765,-0.587,-0.232
1552339177076,2019-03-11T17.19.37.076,6.640,0.763,-0.589,-0.230
1552339177156,2019-03-11T17.19.37.156,6.720,0.759,-0.587,-0.217
1552339177236,2019-03-11T17.19.37.236,6.800,0.750,-0.602,-0.213
1552339177316,2019-03-11T17.19.37.316,6.880,0.746,-0.607,-0.216
1552339177396,2019-03-11T17.19.37.396,6.960,0.760,-0.564,-0.231
1552339177476,2019-03-11T17.19.37.476,7.040,0.773,-0.587,-0.311
1552339177556,2019-03-11T17.19.37.556,7.120,0.805,-0.529,-0.373
1552339177636,2019-03-11T17.19.37.636,7.200,0.793,-0.463,-0.298
1552339177716,2019-03-11T17.19.37.716,7.280,0.792,-0.405,-0.262
1552339177796,2019-03-11T17.19.37.796,7.360,0.866,-0.624,-0.393
1552339177876,2019-03-11T17.19.37.876,7.440,0.775,-0.427,-0.483
1552339177956,2019-03-11T17.19.37.956,7.520,0.754,-0.417,-0.453
1552339178036,2019-03-11T17.19.38.036,7.600,0.800,-0.446,-0.518
1552339178116,2019-03-11T17.19.38.116,7.680,0.756,-0.376,-0.599
1552339178196,2019-03-11T17.19.38.196,7.760,0.757,-0.322,-0.603
1552339178276,2019-03-11T17.19.38.276,7.840,0.711,-0.285,-0.592
1552339178356,2019-03-11T17.19.38.356,7.920,0.635,-0.208,-0.522
1552339178436,2019-03-11T17.19.38.436,8.000,0.714,-0.219,-0.542
1552339178516,2019-03-11T17.19.38.516,8.080,0.792,-0.230,-0.552
1552339178596,2019-03-11T17.19.38.596,8.160,0.800,-0.193,-0.575
1552339178676,2019-03-11T17.19.38.676,8.240,0.746,-0.155,-0.690
1552339178756,2019-03-11T17.19.38.756,8.320,0.674,-0.191,-0.805
1552339178836,2019-03-11T17.19.38.836,8.400,0.603,-0.103,-0.933
1552339178916,2019-03-11T17.19.38.916,8.480,0.812,-0.375,-0.691
1552339178996,2019-03-11T17.19.38.996,8.560,0.699,-0.312,-0.690
1552339179076,2019-03-11T17.19.39.076,8.640,0.669,-0.231,-0.760
1552339179156,2019-03-11T17.19.39.156,8.720,0.668,-0.245,-0.708
1552339179236,2019-03-11T17.19.39.236,8.800,0.708,-0.052,-0.630
1552339179316,2019-03-11T17.19.39.316,8.880,0.721,0.064,-0.659
1552339179396,2019-03-11T17.19.39.396,8.960,0.771,-0.081,-0.687
1552339179476,2019-03-11T17.19.39.476,9.040,0.878,-0.208,-0.697
1552339179556,2019-03-11T17.19.39.556,9.120,0.900,0.022,-0.669
1552339179636,2019-03-11T17.19.39.636,9.200,0.880,0.240,-0.669
1552339179716,2019-03-11T17.19.39.716,9.280,0.982,0.301,-0.715
1552339179796,2019-03-11T17.19.39.796,9.360,1.042,0.289,-0.677
1552339179876,2019-03-11T17.19.39.876,9.440,1.029,0.363,-0.514
1552339179956,2019-03-11T17.19.39.956,9.520,0.777,0.422,-0.283
