epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552338849833,2019-03-11T17.14.09.833,0.000,0.833,0.464,0.276
1552338849913,2019-03-11T17.14.09.913,0.080,0.870,0.435,0.312
1552338849993,2019-03-11T17.14.09.993,0.160,0.890,0.402,0.300
1552338850073,2019-03-11T17.14.10.073,0.240,0.903,0.347,0.292
1552338850153,2019-03-11T17.14.10.153,0.320,0.891,0.313,0.288
1552338850233,2019-03-11T17.14.10.233,0.400,0.923,0.327,0.295
1552338850313,2019-03-11T17.14.10.313,0.480,0.920,0.320,0.310
1552338850393,2019-03-11T17.14.10.393,0.560,0.896,0.328,0.331
1552338850473,2019-03-11T17.14.10.473,0.640,0.919,0.347,0.343
1552338850553,2019-03-11T17.14.10.553,0.720,0.881,0.338,0.325
1552338850633,2019-03-11T17.14.10.633,0.800,0.876,0.336,0.323
1552338850713,2019-03-11T17.14.10.713,0.880,0.881,0.350,0.324
1552338850793,2019-03-11T17.14.10.793,0.960,0.881,0.350,0.320
1552338850873,2019-03-11T17.14.10.873,1.040,0.893,0.346,0.323
1552338850953,2019-03-11T17.14.10.953,1.120,0.901,0.330,0.329
1552338851033,2019-03-11T17.14.11.033,1.200,0.925,0.295,0.350
1552338851113,2019-03-11T17.14.11.113,1.280,0.921,0.253,0.335
1552338851193,2019-03-11T17.14.11.193,1.360,0.881,0.176,0.288
1552338851273,2019-03-11T17.14.11.273,1.440,0.994,0.144,0.293
1552338851353,2019-03-11T17.14.11.353,1.520,0.989,0.184,0.315
1552338851433,2019-03-11T17.14.11.433,1.600,0.900,0.177,0.278
1552338851513,2019-03-11T17.14.11.513,1.680,0.946,0.157,0.231
1552338851593,2019-03-11T17.14.11.593,1.760,1.022,0.161,0.200
1552338851673,2019-03-11T17.14.11.673,1.840,1.115,0.237,0.250
1552338851753,2019-03-11T17.14.11.753,1.920,0.917,0.295,0.161
1552338851833,2019-03-11T17.14.11.833,2.000,0.894,0.325,0.135
