elapsed (s),x-axis (g),y-axis (g),z-axis (g)
13.44,0.8740000000000001,0.202,0.418
13.52,0.905,0.207,0.407
13.6,0.885,0.197,0.382
13.68,0.963,0.235,0.444
13.76,0.89,0.299,0.421
13.84,0.812,0.345,0.345
13.92,0.924,0.306,0.245
14.0,0.95,0.29600000000000004,0.24
14.08,0.955,0.284,0.243
14.16,0.941,0.276,0.24
14.24,0.945,0.275,0.251
14.32,0.943,0.272,0.256
14.4,0.94,0.268,0.262
14.48,0.9259999999999999,0.263,0.271
14.56,0.93,0.268,0.27
14.64,0.943,0.267,0.271
14.72,0.953,0.268,0.263
14.8,0.9470000000000001,0.266,0.23800000000000002
14.88,0.946,0.271,0.22699999999999998
14.96,0.973,0.272,0.20800000000000002
15.04,0.9790000000000001,0.278,0.213
15.12,0.94,0.265,0.223
15.2,0.93,0.27699999999999997,0.24
15.28,0.932,0.31,0.276
15.36,0.893,0.34299999999999997,0.33299999999999996
15.44,0.846,0.34700000000000003,0.39299999999999996
15.52,0.8170000000000001,0.331,0.431
15.6,0.792,0.305,0.42
15.68,0.711,0.248,0.40700000000000003
15.76,0.565,0.17800000000000002,0.306
15.84,0.486,0.156,0.162
15.92,0.5429999999999999,0.191,0.053
16.0,1.032,0.315,-0.062
16.080000000000002,1.943,0.8140000000000001,-0.062
16.16,2.141,0.799,0.105
16.240000000000002,0.8490000000000001,0.462,0.27699999999999997
16.32,-0.015,0.016,0.026000000000000002
16.4,-0.081,-0.025,-0.08199999999999999
16.48,-0.147,-0.016,0.012
16.56,0.257,-0.051,0.062
16.64,2.427,-1.1420000000000001,0.578
16.72,2.082,-2.54,0.205
16.8,-0.02,-0.381,0.14
16.88,0.574,-0.45299999999999996,0.682
16.96,0.7559999999999999,-0.508,0.878
17.04,0.8,-0.203,0.831
17.12,0.5,-0.23,0.8759999999999999
17.2,0.369,-0.201,0.91
17.28,0.336,-0.15,0.875
17.36,0.32,-0.225,0.884
17.44,0.375,-0.317,0.935
17.52,0.42100000000000004,-0.17800000000000002,1.0
17.6,0.441,0.024,0.831
17.68,0.56,-0.23199999999999998,0.953
17.76,0.446,-0.33399999999999996,0.883
17.84,0.35100000000000003,-0.318,0.8370000000000001
17.92,0.354,-0.24600000000000002,0.9
18.0,0.366,-0.226,0.932
18.08,0.298,-0.242,0.914
18.16,0.377,-0.262,0.8859999999999999
18.24,0.34,-0.177,0.934
18.32,0.353,-0.154,0.9359999999999999
18.4,0.451,-0.182,0.8859999999999999
18.48,0.5579999999999999,-0.213,0.872
18.56,0.625,-0.27399999999999997,0.784
18.64,0.6890000000000001,-0.278,0.833
18.72,0.674,-0.237,0.833
18.8,0.56,-0.122,0.7909999999999999
18.88,0.579,-0.051,0.892
18.96,0.635,0.062,0.9009999999999999
19.04,0.583,0.06,0.705
19.12,0.5720000000000001,0.21,0.615
19.2,0.778,0.08199999999999999,0.522
19.28,0.82,0.027999999999999997,0.402
19.36,0.884,0.042,0.259
19.44,0.945,0.07200000000000001,0.195
19.52,0.956,0.085,0.075
19.6,0.99,0.141,-0.156
19.68,0.977,0.065,-0.24
19.76,0.8809999999999999,0.163,-0.34600000000000003
19.84,0.9390000000000001,0.273,-0.44299999999999995
19.92,1.014,0.386,-0.521
20.0,0.945,0.18100000000000002,-0.63
20.08,0.856,0.077,-0.486
20.16,0.8690000000000001,0.106,-0.435
20.24,0.7759999999999999,0.06,-0.522
20.32,0.6970000000000001,-0.004,-0.48100000000000004
20.4,0.741,0.036000000000000004,-0.44
20.48,0.943,0.15,-0.598
20.56,1.042,0.146,-0.7609999999999999
20.64,1.0190000000000001,0.478,-0.515
20.72,1.069,0.542,-0.3670000000000001
20.8,0.997,0.556,-0.479
20.88,0.768,0.5579999999999999,-0.544
20.96,0.672,0.517,-0.395
21.04,0.721,0.5379999999999999,-0.271
21.12,0.8009999999999999,0.562,-0.276
21.2,0.8390000000000001,0.486,-0.337
21.28,0.852,0.484,-0.41600000000000004
21.36,0.88,0.5,-0.38
21.44,0.956,0.43799999999999994,-0.265
21.52,0.9520000000000001,0.39799999999999996,-0.35
21.6,0.951,0.485,-0.39
21.68,0.935,0.564,-0.306
21.76,0.7040000000000001,0.684,-0.18899999999999997
21.84,0.526,0.826,-0.133
21.92,0.423,0.868,-0.16699999999999998
22.0,0.491,0.774,0.068
22.08,0.664,0.511,0.21899999999999997
22.16,0.7190000000000001,0.3670000000000001,0.39899999999999997
22.24,0.726,0.299,0.475
22.32,0.7440000000000001,0.337,0.445
22.4,0.818,0.456,0.502
22.48,0.857,0.457,0.47200000000000003
22.56,1.1,0.509,0.032
22.64,1.423,0.703,-0.043
22.72,1.339,0.575,0.07400000000000001
22.8,1.165,0.364,0.114
22.88,0.992,0.297,-0.039
22.96,0.946,0.215,-0.14800000000000002
23.04,0.7829999999999999,0.183,-0.10300000000000001
23.12,0.445,0.16399999999999998,-0.126
23.2,0.491,0.22699999999999998,-0.073
23.28,0.93,0.22899999999999998,0.23199999999999998
23.36,1.113,0.415,0.469
23.44,0.777,0.413,0.418
23.52,0.957,0.253,0.214
23.6,0.969,0.245,0.221
23.68,0.964,0.236,0.259
23.76,0.925,0.257,0.319
23.84,0.855,0.281,0.33
23.92,0.8490000000000001,0.25,0.336
24.0,0.962,0.28,0.407
24.08,0.905,0.231,0.39
24.16,0.885,0.252,0.361
24.24,0.905,0.268,0.34
24.32,0.926,0.249,0.332
24.4,0.932,0.26,0.31
24.48,0.923,0.276,0.277
24.56,0.897,0.276,0.31
24.64,0.868,0.328,0.29600000000000004
24.72,0.902,0.41,0.337
24.8,0.899,0.431,0.343
24.88,0.877,0.403,0.35200000000000004
24.96,0.831,0.443,0.301
25.04,0.885,0.375,0.245
25.12,0.913,0.267,0.001
25.2,0.904,0.274,-0.034
25.28,0.5539999999999999,0.222,0.099
25.36,0.7559999999999999,0.325,0.084
25.44,1.014,0.464,0.091
25.52,0.792,0.418,-0.127
25.6,0.6890000000000001,0.4270000000000001,-0.17
25.68,0.787,0.449,-0.27
25.76,1.156,0.612,-0.298
25.84,1.729,0.944,-0.312
25.92,1.6740000000000002,0.916,0.02
26.0,0.75,0.476,0.35600000000000004
26.08,0.056,0.063,0.076
26.16,-0.508,0.13,-0.188
26.24,-0.237,0.108,-0.18
26.32,0.33,-0.101,0.319
26.4,1.36,-0.966,0.303
