elapsed (s),x-axis (g),y-axis (g),z-axis (g)
57.44,0.8440000000000001,0.555,-0.246
57.52,0.953,0.354,-0.3
57.6,0.7609999999999999,0.494,-0.298
57.68,0.49,0.768,-0.222
57.76,0.222,0.851,-0.267
57.84,0.8029999999999999,0.52,0.333
57.92,0.945,0.325,0.235
58.0,0.7390000000000001,0.359,0.331
58.08,0.818,0.39,0.326
58.16,0.777,0.487,0.329
58.24,0.889,0.481,0.126
58.32,1.237,0.516,-0.168
58.4,1.4580000000000002,0.386,-0.36
58.48,1.307,0.522,-0.331
58.56,1.177,0.44,-0.379
58.64,1.057,0.417,-0.396
58.72,0.996,0.334,-0.414
58.8,0.748,0.207,-0.209
58.88,0.258,0.08,-0.09
58.96,0.056,0.032,-0.083
59.04,0.8440000000000001,0.21600000000000005,0.391
59.12000000000001,1.605,0.556,0.725
59.2,0.732,0.287,0.332
59.28,0.7290000000000001,0.28300000000000003,0.378
59.36,0.939,0.294,0.448
59.44,0.8420000000000001,0.226,0.436
59.52,0.866,0.21,0.4370000000000001
59.6,0.907,0.229,0.413
59.68,0.94,0.255,0.404
59.76,0.922,0.237,0.397
59.84,0.91,0.293,0.316
59.92,0.92,0.294,0.315
60.0,0.923,0.29,0.304
60.08,0.924,0.292,0.292
60.16,0.926,0.293,0.289
60.24,0.928,0.289,0.285
60.32,0.93,0.29100000000000004,0.281
60.4,0.935,0.293,0.279
60.48,0.935,0.28800000000000003,0.276
60.56,0.932,0.28600000000000003,0.276
60.64,0.933,0.287,0.279
60.72,0.931,0.285,0.282
60.8,0.926,0.28300000000000003,0.29100000000000004
60.88,0.917,0.28800000000000003,0.307
60.96,0.915,0.28800000000000003,0.311
61.04,0.933,0.28,0.313
61.12000000000001,0.911,0.28300000000000003,0.28600000000000003
61.2,0.92,0.287,0.269
61.28,0.923,0.28300000000000003,0.284
61.36,0.913,0.292,0.292
61.44,0.875,0.29100000000000004,0.29600000000000004
61.52,0.8690000000000001,0.257,0.279
61.6,0.833,0.254,0.247
61.68,0.73,0.213,0.194
61.76,0.458,0.142,0.124
61.84,0.32299999999999995,0.155,-0.141
61.92,0.7170000000000001,0.332,-0.487
62.0,0.964,0.375,-0.5479999999999999
62.08,1.048,0.5329999999999999,-0.537
62.16,1.499,0.8240000000000001,-0.765
62.24,1.977,0.921,-0.3720000000000001
62.32,1.5530000000000002,0.794,-0.163
62.4,0.333,0.16699999999999998,-0.016
62.48,-0.35,-0.146,-0.244
62.56,-0.261,-0.069,-0.403
62.64,-0.102,-0.006999999999999999,-0.303
62.72,2.365,-1.6769999999999998,0.909
62.8,0.679,-1.59,1.179
62.88,0.62,-1.4069999999999998,0.047
62.96,0.643,-0.778,-0.228
63.04,1.181,-0.7759999999999999,-0.242
63.12000000000001,0.7070000000000001,-0.7509999999999999,-0.006
63.2,0.5770000000000001,-0.674,0.201
63.28,0.5710000000000001,-0.711,0.073
63.36,0.456,-0.779,-0.042
63.44000000000001,0.5529999999999999,-0.978,-0.004
63.52,0.63,-0.6729999999999999,0.212
63.6,0.831,-0.813,0.116
63.68,0.623,-0.838,-0.001
63.76,0.38,-0.852,-0.006
63.84,0.487,-0.825,-0.078
63.92,0.578,-0.8390000000000001,0.151
64.0,0.537,-0.84,0.079
64.08,0.487,-0.82,-0.016
64.16,0.519,-0.8370000000000001,0.042
64.24,0.526,-0.8390000000000001,0.07
64.32000000000001,0.521,-0.826,0.036000000000000004
64.4,0.521,-0.835,0.039
64.48,0.522,-0.8320000000000001,0.049
64.56,0.521,-0.828,0.062
64.64,0.523,-0.83,0.051
64.72,0.513,-0.831,0.057
64.8,0.52,-0.8390000000000001,0.05
64.88,0.516,-0.836,0.052000000000000005
64.96000000000001,0.515,-0.831,0.063
65.04,0.517,-0.8320000000000001,0.066
65.12,0.522,-0.828,0.054000000000000006
65.2,0.515,-0.84,0.058
65.28,0.503,-0.8490000000000001,0.076
65.36,0.502,-0.838,0.056
65.44,0.504,-0.841,0.05
65.52,0.502,-0.843,0.071
65.6,0.499,-0.84,0.057
65.68,0.493,-0.848,0.038
65.76,0.507,-0.853,0.036000000000000004
65.84,0.504,-0.862,0.059
65.92,0.501,-0.8370000000000001,0.077
66.0,0.604,-0.866,0.066
66.08,0.6609999999999999,-0.8390000000000001,0.08
66.16,0.573,-0.6940000000000001,0.32299999999999995
66.24,0.552,-0.73,0.301
66.32000000000001,0.334,-0.584,0.35
66.4,0.501,-0.8079999999999999,0.547
66.48,0.715,-1.023,0.403
66.56,0.521,-0.53,0.526
66.64,0.695,-0.609,0.62
66.72,0.747,-0.457,0.563
66.8,0.757,-0.391,0.45
66.88,0.716,-0.257,0.314
66.96000000000001,0.838,-0.205,0.281
67.04,0.893,-0.18600000000000005,0.337
67.12,0.877,-0.15,0.25
67.2,0.873,-0.109,0.104
67.28,0.933,0.005,-0.092
67.36,0.883,0.094,-0.226
67.44,0.889,0.103,-0.445
67.52,1.106,-0.119,-0.8079999999999999
67.6,0.83,-0.031,-0.568
67.68,0.727,-0.106,-0.597
67.76,0.86,-0.046,-0.565
67.84,0.871,0.021,-0.4970000000000001
67.92,0.8740000000000001,-0.013,-0.507
68.0,0.94,-0.066,-0.43
68.08,0.998,-0.067,-0.539
68.16,0.7929999999999999,-0.166,-0.514
68.24,0.711,-0.262,-0.523
68.32000000000001,0.695,-0.268,-0.5529999999999999
68.4,0.778,-0.424,-0.594
68.48,0.91,-0.378,-0.618
68.56,1.118,-0.32,-0.713
68.64,0.933,-0.08900000000000001,-0.629
68.72,0.8109999999999999,-0.046,-0.596
68.8,0.7190000000000001,-0.235,-0.462
68.88,0.762,0.036000000000000004,-0.465
68.96000000000001,0.826,0.378,-0.425
69.04,0.952,0.348,-0.417
69.12,0.706,0.389,-0.417
69.2,0.513,0.348,-0.514
69.28,0.474,0.445,-0.452
69.36,0.716,0.31,-0.423
69.44,1.118,0.399,-0.516
69.52,0.974,0.479,-0.232
69.60000000000001,0.723,0.362,-0.319
69.68,0.906,0.19,-0.695
69.76,0.944,0.177,-1.061
69.84,0.7090000000000001,0.246,-0.838
69.92,0.968,-0.018000000000000002,-0.515
70.0,1.117,-0.021,-0.615
70.08,1.126,0.28800000000000003,-0.564
70.16,1.097,0.381,-0.537
70.24,0.898,0.396,-0.557
70.32000000000001,0.9,0.452,-0.454
70.4,0.887,0.376,-0.41
70.48,0.913,0.519,-0.358
70.56,0.8440000000000001,0.555,-0.246
70.64,0.953,0.354,-0.3
70.72,0.7609999999999999,0.494,-0.298
70.8,0.49,0.768,-0.222
70.88,0.222,0.851,-0.267
70.96000000000002,0.8029999999999999,0.52,0.333
71.04,0.945,0.325,0.235
71.12,0.7390000000000001,0.359,0.331
71.2,0.818,0.39,0.326
71.28,0.777,0.487,0.329
71.36,0.889,0.481,0.126
71.44,1.237,0.516,-0.168
71.52,1.4580000000000002,0.386,-0.36
71.60000000000002,1.307,0.522,-0.331
71.68,1.177,0.44,-0.379
71.76,1.057,0.417,-0.396
71.84,0.996,0.334,-0.414
71.92,0.748,0.207,-0.209
72.0,0.258,0.08,-0.09
72.08,0.056,0.032,-0.083
72.16,0.8440000000000001,0.21600000000000005,0.391
72.24,1.605,0.556,0.725
72.32000000000002,0.732,0.287,0.332
72.4,0.7290000000000001,0.28300000000000003,0.378
72.48,0.939,0.294,0.448
72.56,0.8420000000000001,0.226,0.436
72.64,0.866,0.21,0.4370000000000001
72.72,0.907,0.229,0.413
72.8,0.94,0.255,0.404
72.88,0.922,0.237,0.397
