epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552339705714,2019-03-11T17.28.25.714,0.000,0.924,0.306,0.245
1552339705794,2019-03-11T17.28.25.794,0.080,0.950,0.296,0.240
1552339705874,2019-03-11T17.28.25.874,0.160,0.955,0.284,0.243
1552339705954,2019-03-11T17.28.25.954,0.240,0.941,0.276,0.240
1552339706034,2019-03-11T17.28.26.034,0.320,0.945,0.275,0.251
1552339706114,2019-03-11T17.28.26.114,0.400,0.943,0.272,0.256
1552339706194,2019-03-11T17.28.26.194,0.480,0.940,0.268,0.262
1552339706274,2019-03-11T17.28.26.274,0.560,0.926,0.263,0.271
1552339706354,2019-03-11T17.28.26.354,0.640,0.930,0.268,0.270
1552339706434,2019-03-11T17.28.26.434,0.720,0.943,0.267,0.271
1552339706514,2019-03-11T17.28.26.514,0.800,0.953,0.268,0.263
1552339706594,2019-03-11T17.28.26.594,0.880,0.947,0.266,0.238
1552339706674,2019-03-11T17.28.26.674,0.960,0.946,0.271,0.227
1552339706754,2019-03-11T17.28.26.754,1.040,0.973,0.272,0.208
1552339706834,2019-03-11T17.28.26.834,1.120,0.979,0.278,0.213
1552339706914,2019-03-11T17.28.26.914,1.200,0.940,0.265,0.223
1552339706994,2019-03-11T17.28.26.994,1.280,0.930,0.277,0.240
1552339707074,2019-03-11T17.28.27.074,1.360,0.932,0.310,0.276
1552339707154,2019-03-11T17.28.27.154,1.440,0.893,0.343,0.333
1552339707234,2019-03-11T17.28.27.234,1.520,0.846,0.347,0.393
1552339707314,2019-03-11T17.28.27.314,1.600,0.817,0.331,0.431
1552339707394,2019-03-11T17.28.27.394,1.680,0.792,0.305,0.420
1552339707474,2019-03-11T17.28.27.474,1.760,0.711,0.248,0.407
1552339707554,2019-03-11T17.28.27.554,1.840,0.565,0.178,0.306
1552339707634,2019-03-11T17.28.27.634,1.920,0.486,0.156,0.162
1552339707714,2019-03-11T17.28.27.714,2.000,0.543,0.191,0.053
1552339707794,2019-03-11T17.28.27.794,2.080,1.032,0.315,-0.062
1552339707874,2019-03-11T17.28.27.874,2.160,1.943,0.814,-0.062
1552339707954,2019-03-11T17.28.27.954,2.240,2.141,0.799,0.105
1552339708034,2019-03-11T17.28.28.034,2.320,0.849,0.462,0.277
1552339708114,2019-03-11T17.28.28.114,2.400,-0.015,0.016,0.026
1552339708194,2019-03-11T17.28.28.194,2.480,-0.081,-0.025,-0.082
1552339708274,2019-03-11T17.28.28.274,2.560,-0.147,-0.016,0.012
1552339708354,2019-03-11T17.28.28.354,2.640,0.257,-0.051,0.062
1552339708434,2019-03-11T17.28.28.434,2.720,2.427,-1.142,0.578
1552339708514,2019-03-11T17.28.28.514,2.800,2.082,-2.540,0.205
1552339708594,2019-03-11T17.28.28.594,2.880,-0.020,-0.381,0.140
1552339708674,2019-03-11T17.28.28.674,2.960,0.574,-0.453,0.682
1552339708754,2019-03-11T17.28.28.754,3.040,0.756,-0.508,0.878
1552339708834,2019-03-11T17.28.28.834,3.120,0.800,-0.203,0.831
1552339708914,2019-03-11T17.28.28.914,3.200,0.500,-0.230,0.876
