epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552338737850,2019-03-11T17.12.17.850,0.000,0.936,0.288,0.242
1552338737930,2019-03-11T17.12.17.930,0.080,0.940,0.292,0.243
1552338738010,2019-03-11T17.12.18.010,0.160,0.945,0.296,0.241
1552338738090,2019-03-11T17.12.18.090,0.240,0.941,0.291,0.235
1552338738170,2019-03-11T17.12.18.170,0.320,0.946,0.291,0.236
1552338738250,2019-03-11T17.12.18.250,0.400,0.946,0.289,0.233
1552338738330,2019-03-11T17.12.18.330,0.480,0.944,0.284,0.232
1552338738410,2019-03-11T17.12.18.410,0.560,0.946,0.280,0.233
1552338738490,2019-03-11T17.12.18.490,0.640,0.949,0.279,0.232
1552338738570,2019-03-11T17.12.18.570,0.720,0.951,0.279,0.236
1552338738650,2019-03-11T17.12.18.650,0.800,0.946,0.279,0.241
1552338738730,2019-03-11T17.12.18.730,0.880,0.943,0.290,0.243
1552338738810,2019-03-11T17.12.18.810,0.960,0.937,0.308,0.244
1552338738890,2019-03-11T17.12.18.890,1.040,0.933,0.309,0.242
1552338738970,2019-03-11T17.12.18.970,1.120,0.938,0.314,0.251
1552338739050,2019-03-11T17.12.19.050,1.200,0.935,0.303,0.252
1552338739130,2019-03-11T17.12.19.130,1.280,0.936,0.288,0.252
1552338739210,2019-03-11T17.12.19.210,1.360,0.946,0.275,0.259
1552338739290,2019-03-11T17.12.19.290,1.440,0.923,0.264,0.242
1552338739370,2019-03-11T17.12.19.370,1.520,0.909,0.224,0.217
1552338739450,2019-03-11T17.12.19.450,1.600,0.998,0.198,0.247
1552338739530,2019-03-11T17.12.19.530,1.680,0.976,0.191,0.257
1552338739610,2019-03-11T17.12.19.610,1.760,0.939,0.197,0.236
1552338739690,2019-03-11T17.12.19.690,1.840,0.902,0.183,0.203
1552338739770,2019-03-11T17.12.19.770,1.920,0.979,0.173,0.192
1552338739850,2019-03-11T17.12.19.850,2.000,1.028,0.184,0.194
1552338739930,2019-03-11T17.12.19.930,2.080,1.054,0.197,0.155
1552338740010,2019-03-11T17.12.20.010,2.160,1.103,0.264,0.051
1552338740090,2019-03-11T17.12.20.090,2.240,0.872,0.343,-0.077
1552338740170,2019-03-11T17.12.20.170,2.320,0.928,0.333,-0.059
1552338740250,2019-03-11T17.12.20.250,2.400,0.983,0.263,0.010
1552338740330,2019-03-11T17.12.20.330,2.480,0.901,0.269,-0.003
1552338740410,2019-03-11T17.12.20.410,2.560,0.907,0.298,0.014
1552338740490,2019-03-11T17.12.20.490,2.640,0.799,0.268,0.039
1552338740570,2019-03-11T17.12.20.570,2.720,0.934,0.148,-0.051
1552338740650,2019-03-11T17.12.20.650,2.800,1.013,0.210,-0.246
1552338740730,2019-03-11T17.12.20.730,2.880,0.974,0.166,-0.248
1552338740810,2019-03-11T17.12.20.810,2.960,0.853,0.158,-0.258
1552338740890,2019-03-11T17.12.20.890,3.040,0.825,0.269,-0.202
1552338740970,2019-03-11T17.12.20.970,3.120,0.726,0.291,-0.201
1552338741050,2019-03-11T17.12.21.050,3.200,0.507,0.324,-0.108
1552338741130,2019-03-11T17.12.21.130,3.280,0.455,0.516,-0.104
1552338741210,2019-03-11T17.12.21.210,3.360,0.599,0.628,-0.012
1552338741290,2019-03-11T17.12.21.290,3.440,1.052,0.850,0.077
1552338741370,2019-03-11T17.12.21.370,3.520,1.411,0.280,0.413
1552338741450,2019-03-11T17.12.21.450,3.600,0.685,-1.335,0.278
1552338741530,2019-03-11T17.12.21.530,3.680,1.047,-1.868,0.337
1552338741610,2019-03-11T17.12.21.610,3.760,1.023,-1.298,0.065
1552338741690,2019-03-11T17.12.21.690,3.840,0.500,-0.895,0.208
1552338741770,2019-03-11T17.12.21.770,3.920,0.398,-0.693,0.247
1552338741850,2019-03-11T17.12.21.850,4.000,0.702,-0.611,0.148
1552338741930,2019-03-11T17.12.21.930,4.080,0.780,-0.458,0.330
1552338742010,2019-03-11T17.12.22.010,4.160,0.816,-0.453,0.271
1552338742090,2019-03-11T17.12.22.090,4.240,1.022,-0.615,0.060
1552338742170,2019-03-11T17.12.22.170,4.320,0.834,-0.496,0.208
1552338742250,2019-03-11T17.12.22.250,4.400,0.748,-0.583,0.161
1552338742330,2019-03-11T17.12.22.330,4.480,0.797,-0.609,0.101
1552338742410,2019-03-11T17.12.22.410,4.560,0.842,-0.541,0.144
1552338742490,2019-03-11T17.12.22.490,4.640,0.805,-0.539,0.187
1552338742570,2019-03-11T17.12.22.570,4.720,0.820,-0.562,0.150
1552338742650,2019-03-11T17.12.22.650,4.800,0.813,-0.537,0.187
1552338742730,2019-03-11T17.12.22.730,4.880,0.804,-0.559,0.218
1552338742810,2019-03-11T17.12.22.810,4.960,0.804,-0.575,0.203
1552338742890,2019-03-11T17.12.22.890,5.040,0.820,-0.616,0.198
1552338742970,2019-03-11T17.12.22.970,5.120,0.815,-0.615,0.237
1552338743050,2019-03-11T17.12.23.050,5.200,0.847,-0.538,0.276
1552338743130,2019-03-11T17.12.23.130,5.280,0.878,-0.404,0.196
1552338743210,2019-03-11T17.12.23.210,5.360,0.899,-0.273,0.104
1552338743290,2019-03-11T17.12.23.290,5.440,0.832,-0.296,-0.051
1552338743370,2019-03-11T17.12.23.370,5.520,0.789,-0.262,-0.201
1552338743450,2019-03-11T17.12.23.450,5.600,0.798,-0.211,-0.292
1552338743530,2019-03-11T17.12.23.530,5.680,0.870,-0.106,-0.500
1552338743610,2019-03-11T17.12.23.610,5.760,0.865,-0.256,-0.659
1552338743690,2019-03-11T17.12.23.690,5.840,0.804,-0.360,-0.627
1552338743770,2019-03-11T17.12.23.770,5.920,0.898,-0.367,-0.711
1552338743850,2019-03-11T17.12.23.850,6.000,0.741,-0.385,-0.669
1552338743930,2019-03-11T17.12.23.930,6.080,0.455,-0.542,-0.501
1552338744010,2019-03-11T17.12.24.010,6.160,0.600,-0.522,-0.361
1552338744090,2019-03-11T17.12.24.090,6.240,0.793,-0.307,-0.546
1552338744170,2019-03-11T17.12.24.170,6.320,0.865,-0.179,-0.632
1552338744250,2019-03-11T17.12.24.250,6.400,0.661,-0.723,-0.406
1552338744330,2019-03-11T17.12.24.330,6.480,0.809,-0.723,-0.579
1552338744410,2019-03-11T17.12.24.410,6.560,1.026,0.063,-0.950
1552338744490,2019-03-11T17.12.24.490,6.640,0.837,-0.087,-0.604
1552338744570,2019-03-11T17.12.24.570,6.720,0.901,-0.080,-0.511
1552338744650,2019-03-11T17.12.24.650,6.800,0.877,-0.080,-0.554
1552338744730,2019-03-11T17.12.24.730,6.880,0.890,-0.054,-0.639
1552338744810,2019-03-11T17.12.24.810,6.960,0.912,0.091,-0.607
1552338744890,2019-03-11T17.12.24.890,7.040,0.773,0.006,-0.509
1552338744970,2019-03-11T17.12.24.970,7.120,0.613,0.102,-0.388
1552338745050,2019-03-11T17.12.25.050,7.200,0.791,0.326,-0.450
1552338745130,2019-03-11T17.12.25.130,7.280,0.835,0.539,-0.329
1552338745210,2019-03-11T17.12.25.210,7.360,0.739,0.792,-0.374
1552338745290,2019-03-11T17.12.25.290,7.440,0.700,0.954,-0.870
1552338745370,2019-03-11T17.12.25.370,7.520,0.842,0.641,-0.633
1552338745450,2019-03-11T17.12.25.450,7.600,0.809,0.609,-0.436
1552338745530,2019-03-11T17.12.25.530,7.680,0.828,0.634,-0.501
1552338745610,2019-03-11T17.12.25.610,7.760,0.779,0.658,-0.633
1552338745690,2019-03-11T17.12.25.690,7.840,0.751,0.536,-0.527
1552338745770,2019-03-11T17.12.25.770,7.920,0.805,0.321,-0.485
1552338745850,2019-03-11T17.12.25.850,8.000,0.822,0.245,-0.520
1552338745930,2019-03-11T17.12.25.930,8.080,0.761,0.371,-0.444
1552338746010,2019-03-11T17.12.26.010,8.160,0.691,0.405,-0.355
1552338746090,2019-03-11T17.12.26.090,8.240,0.697,0.328,-0.293
1552338746170,2019-03-11T17.12.26.170,8.320,0.965,0.269,-0.145
1552338746250,2019-03-11T17.12.26.250,8.400,1.036,0.377,0.053
1552338746330,2019-03-11T17.12.26.330,8.480,0.596,0.531,-0.332
1552338746410,2019-03-11T17.12.26.410,8.560,0.832,0.368,-0.076
1552338746490,2019-03-11T17.12.26.490,8.640,0.892,0.420,-0.012
1552338746570,2019-03-11T17.12.26.570,8.720,0.909,0.419,-0.010
1552338746650,2019-03-11T17.12.26.650,8.800,0.881,0.382,0.054
1552338746730,2019-03-11T17.12.26.730,8.880,0.933,0.357,0.127
1552338746810,2019-03-11T17.12.26.810,8.960,0.976,0.360,0.145
1552338746890,2019-03-11T17.12.26.890,9.040,0.886,0.368,0.151
1552338746970,2019-03-11T17.12.26.970,9.120,0.895,0.379,0.185
1552338747050,2019-03-11T17.12.27.050,9.200,0.910,0.413,0.200
1552338747130,2019-03-11T17.12.27.130,9.280,0.895,0.404,0.202
1552338747210,2019-03-11T17.12.27.210,9.360,0.912,0.383,0.211
1552338747290,2019-03-11T17.12.27.290,9.440,0.914,0.384,0.215
1552338747370,2019-03-11T17.12.27.370,9.520,0.926,0.381,0.213
1552338747450,2019-03-11T17.12.27.450,9.600,0.921,0.376,0.211
1552338747530,2019-03-11T17.12.27.530,9.680,0.925,0.376,0.209
1552338747610,2019-03-11T17.12.27.610,9.760,0.925,0.375,0.208
1552338747690,2019-03-11T17.12.27.690,9.840,0.923,0.383,0.204
1552338747770,2019-03-11T17.12.27.770,9.920,0.925,0.393,0.203
1552338747850,2019-03-11T17.12.27.850,10.000,0.914,0.389,0.207
