epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552339764471,2019-03-11T17.29.24.471,0.000,0.957,0.253,0.214
1552339764551,2019-03-11T17.29.24.551,0.080,0.969,0.245,0.221
1552339764631,2019-03-11T17.29.24.631,0.160,0.964,0.236,0.259
1552339764711,2019-03-11T17.29.24.711,0.240,0.925,0.257,0.319
1552339764791,2019-03-11T17.29.24.791,0.320,0.855,0.281,0.330
1552339764871,2019-03-11T17.29.24.871,0.400,0.849,0.250,0.336
1552339764951,2019-03-11T17.29.24.951,0.480,0.962,0.280,0.407
1552339765031,2019-03-11T17.29.25.031,0.560,0.905,0.231,0.390
1552339765111,2019-03-11T17.29.25.111,0.640,0.885,0.252,0.361
1552339765191,2019-03-11T17.29.25.191,0.720,0.905,0.268,0.340
1552339765271,2019-03-11T17.29.25.271,0.800,0.926,0.249,0.332
1552339765351,2019-03-11T17.29.25.351,0.880,0.932,0.260,0.310
1552339765431,2019-03-11T17.29.25.431,0.960,0.923,0.276,0.277
1552339765511,2019-03-11T17.29.25.511,1.040,0.897,0.276,0.310
1552339765591,2019-03-11T17.29.25.591,1.120,0.868,0.328,0.296
1552339765671,2019-03-11T17.29.25.671,1.200,0.902,0.410,0.337
1552339765751,2019-03-11T17.29.25.751,1.280,0.899,0.431,0.343
1552339765831,2019-03-11T17.29.25.831,1.360,0.877,0.403,0.352
1552339765911,2019-03-11T17.29.25.911,1.440,0.831,0.443,0.301
1552339765991,2019-03-11T17.29.25.991,1.520,0.885,0.375,0.245
1552339766071,2019-03-11T17.29.26.071,1.600,0.913,0.267,0.001
1552339766151,2019-03-11T17.29.26.151,1.680,0.904,0.274,-0.034
1552339766231,2019-03-11T17.29.26.231,1.760,0.554,0.222,0.099
1552339766311,2019-03-11T17.29.26.311,1.840,0.756,0.325,0.084
1552339766391,2019-03-11T17.29.26.391,1.920,1.014,0.464,0.091
1552339766471,2019-03-11T17.29.26.471,2.000,0.792,0.418,-0.127
1552339766551,2019-03-11T17.29.26.551,2.080,0.689,0.427,-0.170
1552339766631,2019-03-11T17.29.26.631,2.160,0.787,0.449,-0.270
1552339766711,2019-03-11T17.29.26.711,2.240,1.156,0.612,-0.298
1552339766791,2019-03-11T17.29.26.791,2.320,1.729,0.944,-0.312
1552339766871,2019-03-11T17.29.26.871,2.400,1.674,0.916,0.020
1552339766951,2019-03-11T17.29.26.951,2.480,0.750,0.476,0.356
1552339767031,2019-03-11T17.29.27.031,2.560,0.056,0.063,0.076
1552339767111,2019-03-11T17.29.27.111,2.640,-0.508,0.130,-0.188
1552339767191,2019-03-11T17.29.27.191,2.720,-0.237,0.108,-0.180
1552339767271,2019-03-11T17.29.27.271,2.800,0.330,-0.101,0.319
1552339767351,2019-03-11T17.29.27.351,2.880,1.360,-0.966,0.303
1552339767431,2019-03-11T17.29.27.431,2.960,2.530,-3.231,-1.057
1552339767511,2019-03-11T17.29.27.511,3.040,-0.091,-0.828,-0.503
1552339767591,2019-03-11T17.29.27.591,3.120,0.480,-0.576,-0.837
1552339767671,2019-03-11T17.29.27.671,3.200,0.950,-0.734,-1.055
1552339767751,2019-03-11T17.29.27.751,3.280,0.823,-0.739,-0.501
1552339767831,2019-03-11T17.29.27.831,3.360,0.364,-0.714,-0.381
1552339767911,2019-03-11T17.29.27.911,3.440,0.325,-0.952,-0.507
1552339767991,2019-03-11T17.29.27.991,3.520,0.443,-0.333,-0.621
1552339768071,2019-03-11T17.29.28.071,3.600,0.721,-0.644,-0.623
1552339768151,2019-03-11T17.29.28.151,3.680,0.470,-0.853,-0.534
1552339768231,2019-03-11T17.29.28.231,3.760,0.407,-0.767,-0.319
1552339768311,2019-03-11T17.29.28.311,3.840,0.465,-0.815,-0.395
1552339768391,2019-03-11T17.29.28.391,3.920,0.447,-0.724,-0.455
1552339768471,2019-03-11T17.29.28.471,4.000,0.435,-0.727,-0.474
1552339768551,2019-03-11T17.29.28.551,4.080,0.455,-0.744,-0.533
1552339768631,2019-03-11T17.29.28.631,4.160,0.458,-0.696,-0.527
1552339768711,2019-03-11T17.29.28.711,4.240,0.450,-0.685,-0.529
1552339768791,2019-03-11T17.29.28.791,4.320,0.450,-0.698,-0.552
1552339768871,2019-03-11T17.29.28.871,4.400,0.459,-0.684,-0.550
1552339768951,2019-03-11T17.29.28.951,4.480,0.449,-0.626,-0.546
1552339769031,2019-03-11T17.29.29.031,4.560,0.512,-0.732,-0.602
1552339769111,2019-03-11T17.29.29.111,4.640,0.460,-0.618,-0.503
1552339769191,2019-03-11T17.29.29.191,4.720,0.506,-0.712,-0.545
1552339769271,2019-03-11T17.29.29.271,4.800,0.500,-0.657,-0.541
1552339769351,2019-03-11T17.29.29.351,4.880,0.493,-0.680,-0.559
1552339769431,2019-03-11T17.29.29.431,4.960,0.498,-0.724,-0.532
1552339769511,2019-03-11T17.29.29.511,5.040,0.525,-0.703,-0.490
1552339769591,2019-03-11T17.29.29.591,5.120,0.505,-0.736,-0.464
1552339769671,2019-03-11T17.29.29.671,5.200,0.486,-0.769,-0.407
1552339769751,2019-03-11T17.29.29.751,5.280,0.465,-0.758,-0.330
1552339769831,2019-03-11T17.29.29.831,5.360,0.510,-0.821,-0.105
1552339769911,2019-03-11T17.29.29.911,5.440,0.423,-0.792,-0.088
1552339769991,2019-03-11T17.29.29.991,5.520,0.470,-0.806,-0.170
1552339770071,2019-03-11T17.29.30.071,5.600,0.509,-0.829,-0.271
1552339770151,2019-03-11T17.29.30.151,5.680,0.490,-0.844,-0.299
1552339770231,2019-03-11T17.29.30.231,5.760,0.474,-0.818,-0.268
1552339770311,2019-03-11T17.29.30.311,5.840,0.475,-0.816,-0.250
1552339770391,2019-03-11T17.29.30.391,5.920,0.473,-0.816,-0.257
1552339770471,2019-03-11T17.29.30.471,6.000,0.479,-0.816,-0.259
1552339770551,2019-03-11T17.29.30.551,6.080,0.477,-0.817,-0.254
1552339770631,2019-03-11T17.29.30.631,6.160,0.479,-0.821,-0.263
1552339770711,2019-03-11T17.29.30.711,6.240,0.477,-0.815,-0.261
1552339770791,2019-03-11T17.29.30.791,6.320,0.479,-0.821,-0.266
1552339770871,2019-03-11T17.29.30.871,6.400,0.478,-0.817,-0.265
1552339770951,2019-03-11T17.29.30.951,6.480,0.475,-0.816,-0.264
1552339771031,2019-03-11T17.29.31.031,6.560,0.477,-0.817,-0.264
1552339771111,2019-03-11T17.29.31.111,6.640,0.477,-0.816,-0.264
1552339771191,2019-03-11T17.29.31.191,6.720,0.475,-0.815,-0.268
1552339771271,2019-03-11T17.29.31.271,6.800,0.472,-0.816,-0.274
1552339771351,2019-03-11T17.29.31.351,6.880,0.477,-0.812,-0.265
1552339771431,2019-03-11T17.29.31.431,6.960,0.471,-0.812,-0.283
1552339771511,2019-03-11T17.29.31.511,7.040,0.479,-0.811,-0.303
1552339771591,2019-03-11T17.29.31.591,7.120,0.488,-0.819,-0.317
1552339771671,2019-03-11T17.29.31.671,7.200,0.550,-0.749,-0.355
1552339771751,2019-03-11T17.29.31.751,7.280,0.559,-0.776,-0.403
1552339771831,2019-03-11T17.29.31.831,7.360,0.562,-0.984,-0.223
1552339771911,2019-03-11T17.29.31.911,7.440,0.604,-0.910,-0.162
1552339771991,2019-03-11T17.29.31.991,7.520,0.786,-0.634,-0.004
1552339772071,2019-03-11T17.29.32.071,7.600,0.692,-0.771,0.146
1552339772151,2019-03-11T17.29.32.151,7.680,0.719,-0.619,-0.166
1552339772231,2019-03-11T17.29.32.231,7.760,0.695,-0.570,-0.183
1552339772311,2019-03-11T17.29.32.311,7.840,0.597,-0.472,-0.221
1552339772391,2019-03-11T17.29.32.391,7.920,0.670,-0.214,-0.412
1552339772471,2019-03-11T17.29.32.471,8.000,0.776,-0.093,-0.639
1552339772551,2019-03-11T17.29.32.551,8.080,0.751,-0.178,-0.604
1552339772631,2019-03-11T17.29.32.631,8.160,0.850,-0.006,-0.741
1552339772711,2019-03-11T17.29.32.711,8.240,0.672,-0.184,-0.826
1552339772791,2019-03-11T17.29.32.791,8.320,0.574,-0.379,-0.817
1552339772871,2019-03-11T17.29.32.871,8.400,0.640,-0.372,-0.843
1552339772951,2019-03-11T17.29.32.951,8.480,0.737,-0.277,-0.558
1552339773031,2019-03-11T17.29.33.031,8.560,0.717,-0.204,-0.579
1552339773111,2019-03-11T17.29.33.111,8.640,0.847,-0.072,-0.607
1552339773191,2019-03-11T17.29.33.191,8.720,1.358,0.316,-0.789
1552339773271,2019-03-11T17.29.33.271,8.800,1.455,0.410,-0.769
1552339773351,2019-03-11T17.29.33.351,8.880,1.179,0.316,-0.790
1552339773431,2019-03-11T17.29.33.431,8.960,0.831,0.349,-0.377
1552339773511,2019-03-11T17.29.33.511,9.040,0.859,0.087,-0.280
1552339773591,2019-03-11T17.29.33.591,9.120,1.031,-0.024,-0.256
1552339773671,2019-03-11T17.29.33.671,9.200,0.714,-0.069,-0.499
1552339773751,2019-03-11T17.29.33.751,9.280,0.680,-0.101,-0.566
1552339773831,2019-03-11T17.29.33.831,9.360,0.590,0.374,-0.402
1552339773911,2019-03-11T17.29.33.911,9.440,0.709,0.770,0.146
1552339773991,2019-03-11T17.29.33.991,9.520,0.893,0.475,0.103
1552339774071,2019-03-11T17.29.34.071,9.600,0.641,0.603,-0.020
1552339774151,2019-03-11T17.29.34.151,9.680,0.767,0.667,-0.162
1552339774231,2019-03-11T17.29.34.231,9.760,1.485,0.885,-0.205
1552339774311,2019-03-11T17.29.34.311,9.840,1.171,0.790,-0.355
1552339774391,2019-03-11T17.29.34.391,9.920,0.787,0.706,-0.631
1552339774471,2019-03-11T17.29.34.471,10.000,0.840,0.700,-0.403
1552339774551,2019-03-11T17.29.34.551,10.080,0.973,0.528,-0.028
1552339774631,2019-03-11T17.29.34.631,10.160,0.756,0.319,-0.358
1552339774711,2019-03-11T17.29.34.711,10.240,0.590,0.022,-0.277
1552339774791,2019-03-11T17.29.34.791,10.320,0.962,0.124,0.127
1552339774871,2019-03-11T17.29.34.871,10.400,1.072,0.302,0.104
1552339774951,2019-03-11T17.29.34.951,10.480,0.481,0.041,0.155
1552339775031,2019-03-11T17.29.35.031,10.560,0.695,-0.042,0.199
1552339775111,2019-03-11T17.29.35.111,10.640,1.010,0.264,0.360
1552339775191,2019-03-11T17.29.35.191,10.720,0.826,0.138,0.342
1552339775271,2019-03-11T17.29.35.271,10.800,1.112,0.401,0.566
1552339775351,2019-03-11T17.29.35.351,10.880,0.777,0.281,0.388
1552339775431,2019-03-11T17.29.35.431,10.960,0.879,0.275,0.444
1552339775511,2019-03-11T17.29.35.511,11.040,0.891,0.303,0.418
1552339775591,2019-03-11T17.29.35.591,11.120,0.873,0.302,0.391
1552339775671,2019-03-11T17.29.35.671,11.200,0.872,0.303,0.395
1552339775751,2019-03-11T17.29.35.751,11.280,0.876,0.280,0.425
1552339775831,2019-03-11T17.29.35.831,11.360,0.876,0.315,0.420
1552339775911,2019-03-11T17.29.35.911,11.440,0.878,0.314,0.412
1552339775991,2019-03-11T17.29.35.991,11.520,0.869,0.321,0.410
1552339776071,2019-03-11T17.29.36.071,11.600,0.857,0.319,0.424
1552339776151,2019-03-11T17.29.36.151,11.680,0.866,0.325,0.419
1552339776231,2019-03-11T17.29.36.231,11.760,0.854,0.328,0.399
