epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552341280364,2019-03-11T17.54.40.364,0.000,0.980,-0.069,0.190
1552341280444,2019-03-11T17.54.40.444,0.080,0.991,-0.069,0.191
1552341280524,2019-03-11T17.54.40.524,0.160,0.987,-0.074,0.188
1552341280604,2019-03-11T17.54.40.604,0.240,0.987,-0.071,0.188
1552341280684,2019-03-11T17.54.40.684,0.320,0.987,-0.063,0.186
1552341280764,2019-03-11T17.54.40.764,0.400,0.990,-0.074,0.182
1552341280844,2019-03-11T17.54.40.844,0.480,0.989,-0.073,0.186
1552341280924,2019-03-11T17.54.40.924,0.560,0.992,-0.076,0.184
1552341281004,2019-03-11T17.54.41.004,0.640,0.987,-0.073,0.183
1552341281084,2019-03-11T17.54.41.084,0.720,0.998,-0.048,0.170
1552341281164,2019-03-11T17.54.41.164,0.800,0.998,-0.062,0.174
1552341281244,2019-03-11T17.54.41.244,0.880,0.983,-0.032,0.197
1552341281324,2019-03-11T17.54.41.324,0.960,0.983,-0.013,0.209
1552341281404,2019-03-11T17.54.41.404,1.040,0.999,-0.044,0.216
1552341281484,2019-03-11T17.54.41.484,1.120,0.957,-0.042,0.178
1552341281564,2019-03-11T17.54.41.564,1.200,0.993,-0.036,0.159
1552341281644,2019-03-11T17.54.41.644,1.280,1.008,-0.110,0.112
1552341281724,2019-03-11T17.54.41.724,1.360,0.977,-0.142,0.096
1552341281804,2019-03-11T17.54.41.804,1.440,1.025,-0.127,0.003
1552341281884,2019-03-11T17.54.41.884,1.520,0.967,-0.208,-0.068
1552341281964,2019-03-11T17.54.41.964,1.600,0.950,-0.096,0.024
1552341282044,2019-03-11T17.54.42.044,1.680,0.564,-0.211,-0.114
1552341282124,2019-03-11T17.54.42.124,1.760,0.956,-0.269,-0.254
1552341282204,2019-03-11T17.54.42.204,1.840,1.038,-0.059,0.051
1552341282284,2019-03-11T17.54.42.284,1.920,0.851,-0.028,0.075
1552341282364,2019-03-11T17.54.42.364,2.000,0.859,-0.048,-0.021
1552341282444,2019-03-11T17.54.42.444,2.080,1.075,-0.298,-0.086
1552341282524,2019-03-11T17.54.42.524,2.160,1.237,-0.206,-0.106
1552341282604,2019-03-11T17.54.42.604,2.240,1.334,-0.399,-0.128
1552341282684,2019-03-11T17.54.42.684,2.320,1.269,-0.343,-0.158
1552341282764,2019-03-11T17.54.42.764,2.400,1.460,-0.105,0.137
1552341282844,2019-03-11T17.54.42.844,2.480,0.865,-0.278,0.207
1552341282924,2019-03-11T17.54.42.924,2.560,-0.137,-0.232,-0.223
1552341283004,2019-03-11T17.54.43.004,2.640,-0.268,-0.150,-0.205
1552341283084,2019-03-11T17.54.43.084,2.720,0.730,-0.498,0.430
1552341283164,2019-03-11T17.54.43.164,2.800,0.608,-1.714,1.445
1552341283244,2019-03-11T17.54.43.244,2.880,-0.076,-0.609,2.007
1552341283324,2019-03-11T17.54.43.324,2.960,-0.644,-0.182,0.722
1552341283404,2019-03-11T17.54.43.404,3.040,-0.585,-0.267,0.760
1552341283484,2019-03-11T17.54.43.484,3.120,-0.706,-0.266,0.733
1552341283564,2019-03-11T17.54.43.564,3.200,-0.640,-0.347,0.696
1552341283644,2019-03-11T17.54.43.644,3.280,-0.433,-0.308,0.919
1552341283724,2019-03-11T17.54.43.724,3.360,-0.253,-0.326,1.004
1552341283804,2019-03-11T17.54.43.804,3.440,-0.218,-0.430,0.943
1552341283884,2019-03-11T17.54.43.884,3.520,-0.277,-0.595,0.818
1552341283964,2019-03-11T17.54.43.964,3.600,-0.769,-0.555,0.459
1552341284044,2019-03-11T17.54.44.044,3.680,-0.415,-0.738,0.251
1552341284124,2019-03-11T17.54.44.124,3.760,0.316,-0.739,0.764
1552341284204,2019-03-11T17.54.44.204,3.840,0.268,-0.438,0.916
1552341284284,2019-03-11T17.54.44.284,3.920,-0.125,-0.524,0.952
