epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552340737498,2019-03-11T17.45.37.498,0.000,1.002,-0.017,-0.036
1552340737578,2019-03-11T17.45.37.578,0.080,1.009,-0.011,-0.030
1552340737658,2019-03-11T17.45.37.658,0.160,1.013,0.002,-0.027
1552340737738,2019-03-11T17.45.37.738,0.240,1.005,0.005,-0.029
1552340737818,2019-03-11T17.45.37.818,0.320,1.003,-0.005,-0.029
1552340737898,2019-03-11T17.45.37.898,0.400,1.007,-0.004,-0.024
1552340737978,2019-03-11T17.45.37.978,0.480,1.011,-0.003,-0.021
1552340738058,2019-03-11T17.45.38.058,0.560,1.010,-0.008,-0.020
1552340738138,2019-03-11T17.45.38.138,0.640,1.005,-0.004,-0.028
1552340738218,2019-03-11T17.45.38.218,0.720,1.028,-0.008,-0.031
1552340738298,2019-03-11T17.45.38.298,0.800,1.049,-0.012,-0.035
1552340738378,2019-03-11T17.45.38.378,0.880,1.024,-0.014,-0.021
1552340738458,2019-03-11T17.45.38.458,0.960,0.994,-0.022,-0.006
1552340738538,2019-03-11T17.45.38.538,1.040,0.937,0.040,0.049
1552340738618,2019-03-11T17.45.38.618,1.120,0.996,0.057,0.091
1552340738698,2019-03-11T17.45.38.698,1.200,1.005,0.009,0.112
1552340738778,2019-03-11T17.45.38.778,1.280,1.009,0.056,0.130
1552340738858,2019-03-11T17.45.38.858,1.360,1.006,0.121,0.128
1552340738938,2019-03-11T17.45.38.938,1.440,1.001,0.146,0.073
1552340739018,2019-03-11T17.45.39.018,1.520,1.001,0.073,0.031
1552340739098,2019-03-11T17.45.39.098,1.600,1.012,0.100,0.039
1552340739178,2019-03-11T17.45.39.178,1.680,0.985,0.107,0.022
1552340739258,2019-03-11T17.45.39.258,1.760,0.947,0.088,-0.037
1552340739338,2019-03-11T17.45.39.338,1.840,0.916,0.075,-0.142
1552340739418,2019-03-11T17.45.39.418,1.920,0.873,-0.125,-0.154
1552340739498,2019-03-11T17.45.39.498,2.000,0.945,-0.032,-0.100
1552340739578,2019-03-11T17.45.39.578,2.080,0.953,-0.080,-0.086
1552340739658,2019-03-11T17.45.39.658,2.160,0.823,0.017,-0.109
1552340739738,2019-03-11T17.45.39.738,2.240,0.845,0.010,-0.125
1552340739818,2019-03-11T17.45.39.818,2.320,0.963,-0.146,-0.158
1552340739898,2019-03-11T17.45.39.898,2.400,0.957,0.021,-0.095
1552340739978,2019-03-11T17.45.39.978,2.480,0.986,0.001,-0.088
1552340740058,2019-03-11T17.45.40.058,2.560,0.951,-0.037,-0.126
1552340740138,2019-03-11T17.45.40.138,2.640,0.901,-0.022,-0.079
1552340740218,2019-03-11T17.45.40.218,2.720,0.926,0.008,0.138
1552340740298,2019-03-11T17.45.40.298,2.800,1.442,-0.606,0.281
1552340740378,2019-03-11T17.45.40.378,2.880,1.068,-1.020,0.375
1552340740458,2019-03-11T17.45.40.458,2.960,0.683,-0.580,0.415
1552340740538,2019-03-11T17.45.40.538,3.040,0.393,-0.657,0.498
1552340740618,2019-03-11T17.45.40.618,3.120,-0.032,-0.808,0.588
1552340740698,2019-03-11T17.45.40.698,3.200,-0.470,-0.812,0.749
1552340740778,2019-03-11T17.45.40.778,3.280,-0.498,-0.675,0.790
1552340740858,2019-03-11T17.45.40.858,3.360,-0.367,-0.530,0.549
1552340740938,2019-03-11T17.45.40.938,3.440,-0.208,-0.787,0.575
1552340741018,2019-03-11T17.45.41.018,3.520,-0.063,-0.867,0.462
1552340741098,2019-03-11T17.45.41.098,3.600,0.079,-0.960,0.360
1552340741178,2019-03-11T17.45.41.178,3.680,0.168,-0.960,0.463
1552340741258,2019-03-11T17.45.41.258,3.760,-0.071,-0.822,0.597
1552340741338,2019-03-11T17.45.41.338,3.840,-0.100,-0.885,0.419
1552340741418,2019-03-11T17.45.41.418,3.920,-0.150,-0.863,0.451
1552340741498,2019-03-11T17.45.41.498,4.000,-0.050,-0.854,0.463
1552340741578,2019-03-11T17.45.41.578,4.080,-0.071,-0.862,0.451
1552340741658,2019-03-11T17.45.41.658,4.160,-0.104,-0.895,0.423
1552340741738,2019-03-11T17.45.41.738,4.240,-0.086,-0.855,0.459
1552340741818,2019-03-11T17.45.41.818,4.320,-0.100,-0.873,0.432
1552340741898,2019-03-11T17.45.41.898,4.400,-0.097,-0.880,0.420
1552340741978,2019-03-11T17.45.41.978,4.480,-0.098,-0.878,0.430
1552340742058,2019-03-11T17.45.42.058,4.560,-0.099,-0.877,0.432
1552340742138,2019-03-11T17.45.42.138,4.640,-0.094,-0.877,0.425
1552340742218,2019-03-11T17.45.42.218,4.720,-0.093,-0.879,0.417
1552340742298,2019-03-11T17.45.42.298,4.800,-0.098,-0.880,0.420
1552340742378,2019-03-11T17.45.42.378,4.880,-0.101,-0.880,0.423
1552340742458,2019-03-11T17.45.42.458,4.960,-0.102,-0.878,0.422
1552340742538,2019-03-11T17.45.42.538,5.040,-0.097,-0.880,0.417
1552340742618,2019-03-11T17.45.42.618,5.120,-0.099,-0.881,0.414
1552340742698,2019-03-11T17.45.42.698,5.200,-0.094,-0.879,0.417
1552340742778,2019-03-11T17.45.42.778,5.280,-0.088,-0.886,0.411
1552340742858,2019-03-11T17.45.42.858,5.360,-0.080,-0.879,0.433
1552340742938,2019-03-11T17.45.42.938,5.440,-0.134,-0.898,0.412
1552340743018,2019-03-11T17.45.43.018,5.520,-0.184,-0.891,0.391
1552340743098,2019-03-11T17.45.43.098,5.600,-0.110,-0.889,0.369
1552340743178,2019-03-11T17.45.43.178,5.680,-0.071,-0.828,0.463
1552340743258,2019-03-11T17.45.43.258,5.760,-0.108,-0.839,0.524
1552340743338,2019-03-11T17.45.43.338,5.840,-0.067,-0.861,0.529
1552340743418,2019-03-11T17.45.43.418,5.920,-0.028,-0.801,0.618
1552340743498,2019-03-11T17.45.43.498,6.000,0.031,-0.759,0.648
1552340743578,2019-03-11T17.45.43.578,6.080,0.072,-0.723,0.642
1552340743658,2019-03-11T17.45.43.658,6.160,0.047,-0.718,0.669
1552340743738,2019-03-11T17.45.43.738,6.240,0.064,-0.748,0.667
1552340743818,2019-03-11T17.45.43.818,6.320,0.143,-0.706,0.651
1552340743898,2019-03-11T17.45.43.898,6.400,0.226,-0.607,0.701
1552340743978,2019-03-11T17.45.43.978,6.480,0.335,-0.603,0.724
1552340744058,2019-03-11T17.45.44.058,6.560,0.491,-0.668,0.672
1552340744138,2019-03-11T17.45.44.138,6.640,0.616,-0.794,0.578
1552340744218,2019-03-11T17.45.44.218,6.720,0.626,-0.845,0.454
1552340744298,2019-03-11T17.45.44.298,6.800,0.666,-0.872,0.282
1552340744378,2019-03-11T17.45.44.378,6.880,0.534,-0.774,0.210
1552340744458,2019-03-11T17.45.44.458,6.960,0.412,-0.713,-0.017
1552340744538,2019-03-11T17.45.44.538,7.040,0.314,-0.658,-0.316
1552340744618,2019-03-11T17.45.44.618,7.120,0.172,-0.731,-0.511
1552340744698,2019-03-11T17.45.44.698,7.200,0.170,-0.652,-0.653
1552340744778,2019-03-11T17.45.44.778,7.280,0.218,-0.549,-0.743
1552340744858,2019-03-11T17.45.44.858,7.360,0.300,-0.529,-0.804
1552340744938,2019-03-11T17.45.44.938,7.440,0.353,-0.438,-0.809
1552340745018,2019-03-11T17.45.45.018,7.520,0.410,-0.462,-0.777
1552340745098,2019-03-11T17.45.45.098,7.600,0.509,-0.411,-0.797
1552340745178,2019-03-11T17.45.45.178,7.680,0.505,-0.428,-0.783
1552340745258,2019-03-11T17.45.45.258,7.760,0.512,-0.401,-0.743
1552340745338,2019-03-11T17.45.45.338,7.840,0.498,-0.326,-0.717
1552340745418,2019-03-11T17.45.45.418,7.920,0.545,-0.271,-0.702
1552340745498,2019-03-11T17.45.45.498,8.000,0.692,-0.340,-0.854
1552340745578,2019-03-11T17.45.45.578,8.080,0.705,-0.260,-0.608
1552340745658,2019-03-11T17.45.45.658,8.160,0.840,-0.221,-0.479
1552340745738,2019-03-11T17.45.45.738,8.240,0.979,-0.228,-0.433
1552340745818,2019-03-11T17.45.45.818,8.320,1.033,-0.167,-0.427
1552340745898,2019-03-11T17.45.45.898,8.400,1.030,-0.187,-0.382
1552340745978,2019-03-11T17.45.45.978,8.480,0.978,-0.223,-0.318
1552340746058,2019-03-11T17.45.46.058,8.560,0.949,-0.290,-0.299
1552340746138,2019-03-11T17.45.46.138,8.640,0.889,-0.081,-0.314
1552340746218,2019-03-11T17.45.46.218,8.720,0.904,0.087,-0.334
1552340746298,2019-03-11T17.45.46.298,8.800,0.972,0.027,-0.325
1552340746378,2019-03-11T17.45.46.378,8.880,0.956,0.034,-0.286
1552340746458,2019-03-11T17.45.46.458,8.960,0.945,0.127,-0.288
1552340746538,2019-03-11T17.45.46.538,9.040,0.973,0.209,-0.331
1552340746618,2019-03-11T17.45.46.618,9.120,1.019,0.150,-0.161
1552340746698,2019-03-11T17.45.46.698,9.200,0.843,0.384,-0.223
1552340746778,2019-03-11T17.45.46.778,9.280,0.812,0.366,-0.224
1552340746858,2019-03-11T17.45.46.858,9.360,0.927,0.290,-0.181
1552340746938,2019-03-11T17.45.46.938,9.440,1.030,0.557,-0.157
1552340747018,2019-03-11T17.45.47.018,9.520,1.241,0.273,-0.200
1552340747098,2019-03-11T17.45.47.098,9.600,1.319,0.126,-0.259
1552340747178,2019-03-11T17.45.47.178,9.680,1.197,0.164,-0.225
1552340747258,2019-03-11T17.45.47.258,9.760,1.099,0.078,-0.200
1552340747338,2019-03-11T17.45.47.338,9.840,0.980,-0.106,-0.268
1552340747418,2019-03-11T17.45.47.418,9.920,0.942,-0.126,-0.300
1552340747498,2019-03-11T17.45.47.498,10.000,0.762,-0.169,-0.242
1552340747578,2019-03-11T17.45.47.578,10.080,0.675,-0.229,-0.148
1552340747658,2019-03-11T17.45.47.658,10.160,0.620,-0.165,-0.051
1552340747738,2019-03-11T17.45.47.738,10.240,0.670,-0.142,0.093
1552340747818,2019-03-11T17.45.47.818,10.320,1.087,-0.133,0.043
1552340747898,2019-03-11T17.45.47.898,10.400,1.247,-0.157,-0.119
1552340747978,2019-03-11T17.45.47.978,10.480,0.796,-0.095,-0.159
1552340748058,2019-03-11T17.45.48.058,10.560,1.032,0.077,-0.157
1552340748138,2019-03-11T17.45.48.138,10.640,0.967,0.089,-0.056
1552340748218,2019-03-11T17.45.48.218,10.720,1.021,0.100,0.042
1552340748298,2019-03-11T17.45.48.298,10.800,1.010,0.049,0.068
