epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552340846376,2019-03-11T17.47.26.376,0.000,1.022,0.018,0.081
1552340846456,2019-03-11T17.47.26.456,0.080,1.030,0.062,0.066
1552340846536,2019-03-11T17.47.26.536,0.160,1.011,0.020,0.071
1552340846616,2019-03-11T17.47.26.616,0.240,0.990,0.011,0.057
1552340846696,2019-03-11T17.47.26.696,0.320,1.004,0.024,0.042
1552340846776,2019-03-11T17.47.26.776,0.400,1.008,0.003,0.028
1552340846856,2019-03-11T17.47.26.856,0.480,1.011,0.021,0.043
1552340846936,2019-03-11T17.47.26.936,0.560,1.015,0.026,0.037
1552340847016,2019-03-11T17.47.27.016,0.640,1.009,0.002,0.028
1552340847096,2019-03-11T17.47.27.096,0.720,1.003,0.013,0.019
1552340847176,2019-03-11T17.47.27.176,0.800,1.007,0.022,0.030
1552340847256,2019-03-11T17.47.27.256,0.880,1.009,0.011,0.026
1552340847336,2019-03-11T17.47.27.336,0.960,1.005,0.004,0.037
1552340847416,2019-03-11T17.47.27.416,1.040,1.015,0.019,0.019
1552340847496,2019-03-11T17.47.27.496,1.120,0.978,-0.026,-0.020
1552340847576,2019-03-11T17.47.27.576,1.200,0.953,-0.072,-0.122
1552340847656,2019-03-11T17.47.27.656,1.280,0.903,-0.021,-0.154
1552340847736,2019-03-11T17.47.27.736,1.360,1.066,-0.053,-0.183
1552340847816,2019-03-11T17.47.27.816,1.440,1.173,-0.261,0.074
1552340847896,2019-03-11T17.47.27.896,1.520,0.743,-0.362,-0.074
1552340847976,2019-03-11T17.47.27.976,1.600,0.611,-0.181,-0.258
1552340848056,2019-03-11T17.47.28.056,1.680,0.792,-0.107,-0.165
1552340848136,2019-03-11T17.47.28.136,1.760,0.836,-0.022,-0.038
1552340848216,2019-03-11T17.47.28.216,1.840,1.058,-0.012,-0.036
1552340848296,2019-03-11T17.47.28.296,1.920,1.398,-0.257,0.051
1552340848376,2019-03-11T17.47.28.376,2.000,1.563,-0.224,0.204
1552340848456,2019-03-11T17.47.28.456,2.080,1.355,-0.180,0.186
1552340848536,2019-03-11T17.47.28.536,2.160,0.704,-0.348,0.005
1552340848616,2019-03-11T17.47.28.616,2.240,0.332,-0.240,0.109
1552340848696,2019-03-11T17.47.28.696,2.320,-0.075,-0.162,-0.147
1552340848776,2019-03-11T17.47.28.776,2.400,0.298,-0.483,0.020
1552340848856,2019-03-11T17.47.28.856,2.480,0.405,-1.655,1.328
1552340848936,2019-03-11T17.47.28.936,2.560,-0.431,-0.254,2.354
1552340849016,2019-03-11T17.47.29.016,2.640,-0.670,0.486,0.350
1552340849096,2019-03-11T17.47.29.096,2.720,-0.369,0.536,0.857
1552340849176,2019-03-11T17.47.29.176,2.800,0.062,0.714,1.113
1552340849256,2019-03-11T17.47.29.256,2.880,0.095,0.532,1.006
1552340849336,2019-03-11T17.47.29.336,2.960,0.208,0.491,0.979
1552340849416,2019-03-11T17.47.29.416,3.040,0.201,0.367,0.952
1552340849496,2019-03-11T17.47.29.496,3.120,0.003,0.306,0.973
1552340849576,2019-03-11T17.47.29.576,3.200,-0.089,0.202,0.957
1552340849656,2019-03-11T17.47.29.656,3.280,-0.197,0.291,0.926
1552340849736,2019-03-11T17.47.29.736,3.360,-0.231,0.376,1.051
1552340849816,2019-03-11T17.47.29.816,3.440,0.205,-0.146,0.970
1552340849896,2019-03-11T17.47.29.896,3.520,0.563,-0.078,0.701
1552340849976,2019-03-11T17.47.29.976,3.600,0.159,0.243,1.156
1552340850056,2019-03-11T17.47.30.056,3.680,0.184,0.083,1.037
1552340850136,2019-03-11T17.47.30.136,3.760,0.103,0.032,0.979
1552340850216,2019-03-11T17.47.30.216,3.840,0.000,0.101,1.003
1552340850296,2019-03-11T17.47.30.296,3.920,0.018,0.158,1.011
1552340850376,2019-03-11T17.47.30.376,4.000,0.075,0.116,0.989
1552340850456,2019-03-11T17.47.30.456,4.080,0.069,0.084,1.008
1552340850536,2019-03-11T17.47.30.536,4.160,0.070,0.125,1.072
1552340850616,2019-03-11T17.47.30.616,4.240,0.037,0.120,0.935
1552340850696,2019-03-11T17.47.30.696,4.320,-0.002,0.091,0.988
1552340850776,2019-03-11T17.47.30.776,4.400,0.011,0.113,1.001
1552340850856,2019-03-11T17.47.30.856,4.480,0.005,0.094,0.990
1552340850936,2019-03-11T17.47.30.936,4.560,0.019,0.085,1.026
1552340851016,2019-03-11T17.47.31.016,4.640,-0.014,0.064,0.948
1552340851096,2019-03-11T17.47.31.096,4.720,0.001,0.058,1.039
1552340851176,2019-03-11T17.47.31.176,4.800,-0.021,0.024,1.003
1552340851256,2019-03-11T17.47.31.256,4.880,-0.020,0.006,1.008
1552340851336,2019-03-11T17.47.31.336,4.960,-0.013,0.022,1.012
1552340851416,2019-03-11T17.47.31.416,5.040,-0.025,0.020,1.003
1552340851496,2019-03-11T17.47.31.496,5.120,-0.038,0.014,0.999
1552340851576,2019-03-11T17.47.31.576,5.200,-0.026,0.015,1.006
1552340851656,2019-03-11T17.47.31.656,5.280,-0.049,0.027,0.996
1552340851736,2019-03-11T17.47.31.736,5.360,-0.044,0.013,1.002
1552340851816,2019-03-11T17.47.31.816,5.440,-0.041,0.037,1.002
1552340851896,2019-03-11T17.47.31.896,5.520,-0.081,0.040,0.992
1552340851976,2019-03-11T17.47.31.976,5.600,-0.087,0.037,0.988
1552340852056,2019-03-11T17.47.32.056,5.680,-0.089,0.034,0.975
1552340852136,2019-03-11T17.47.32.136,5.760,-0.150,0.010,0.970
1552340852216,2019-03-11T17.47.32.216,5.840,-0.090,0.112,1.019
1552340852296,2019-03-11T17.47.32.296,5.920,-0.010,0.155,1.024
1552340852376,2019-03-11T17.47.32.376,6.000,0.010,0.118,1.011
1552340852456,2019-03-11T17.47.32.456,6.080,-0.013,0.045,1.030
1552340852536,2019-03-11T17.47.32.536,6.160,0.013,0.025,1.034
1552340852616,2019-03-11T17.47.32.616,6.240,0.040,-0.011,0.996
1552340852696,2019-03-11T17.47.32.696,6.320,0.076,-0.009,0.986
1552340852776,2019-03-11T17.47.32.776,6.400,0.115,-0.010,0.993
1552340852856,2019-03-11T17.47.32.856,6.480,0.145,-0.018,1.004
1552340852936,2019-03-11T17.47.32.936,6.560,0.166,0.000,1.020
1552340853016,2019-03-11T17.47.33.016,6.640,0.159,-0.019,1.028
1552340853096,2019-03-11T17.47.33.096,6.720,0.195,-0.061,1.015
1552340853176,2019-03-11T17.47.33.176,6.800,0.273,-0.088,0.973
1552340853256,2019-03-11T17.47.33.256,6.880,0.335,-0.177,0.928
1552340853336,2019-03-11T17.47.33.336,6.960,0.348,-0.263,0.898
1552340853416,2019-03-11T17.47.33.416,7.040,0.383,-0.333,0.821
1552340853496,2019-03-11T17.47.33.496,7.120,0.384,-0.416,0.802
1552340853576,2019-03-11T17.47.33.576,7.200,0.382,-0.455,0.811
1552340853656,2019-03-11T17.47.33.656,7.280,0.369,-0.438,0.804
