epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552341208504,2019-03-11T17.53.28.504,0.000,0.964,-0.101,0.215
1552341208584,2019-03-11T17.53.28.584,0.080,0.955,-0.091,0.190
1552341208664,2019-03-11T17.53.28.664,0.160,1.024,-0.080,0.178
1552341208744,2019-03-11T17.53.28.744,0.240,1.026,-0.092,0.164
1552341208824,2019-03-11T17.53.28.824,0.320,0.985,-0.077,0.177
1552341208904,2019-03-11T17.53.28.904,0.400,0.977,-0.068,0.213
1552341208984,2019-03-11T17.53.28.984,0.480,0.981,-0.079,0.209
1552341209064,2019-03-11T17.53.29.064,0.560,0.983,-0.087,0.206
1552341209144,2019-03-11T17.53.29.144,0.640,0.981,-0.099,0.203
1552341209224,2019-03-11T17.53.29.224,0.720,0.983,-0.108,0.197
1552341209304,2019-03-11T17.53.29.304,0.800,0.984,-0.104,0.200
1552341209384,2019-03-11T17.53.29.384,0.880,0.980,-0.086,0.206
1552341209464,2019-03-11T17.53.29.464,0.960,0.982,-0.072,0.211
1552341209544,2019-03-11T17.53.29.544,1.040,0.983,-0.068,0.211
1552341209624,2019-03-11T17.53.29.624,1.120,0.980,-0.068,0.213
1552341209704,2019-03-11T17.53.29.704,1.200,0.981,-0.073,0.209
1552341209784,2019-03-11T17.53.29.784,1.280,0.983,-0.080,0.206
1552341209864,2019-03-11T17.53.29.864,1.360,0.985,-0.077,0.198
1552341209944,2019-03-11T17.53.29.944,1.440,0.989,-0.087,0.192
1552341210024,2019-03-11T17.53.30.024,1.520,0.985,-0.071,0.193
1552341210104,2019-03-11T17.53.30.104,1.600,0.991,-0.041,0.194
1552341210184,2019-03-11T17.53.30.184,1.680,0.979,-0.082,0.221
1552341210264,2019-03-11T17.53.30.264,1.760,0.957,-0.108,0.210
1552341210344,2019-03-11T17.53.30.344,1.840,0.963,-0.142,0.166
1552341210424,2019-03-11T17.53.30.424,1.920,0.959,-0.146,0.074
1552341210504,2019-03-11T17.53.30.504,2.000,0.875,-0.083,-0.007
1552341210584,2019-03-11T17.53.30.584,2.080,0.890,-0.069,0.010
1552341210664,2019-03-11T17.53.30.664,2.160,0.918,-0.034,-0.183
1552341210744,2019-03-11T17.53.30.744,2.240,0.767,-0.102,0.068
1552341210824,2019-03-11T17.53.30.824,2.320,0.778,-0.211,0.175
1552341210904,2019-03-11T17.53.30.904,2.400,1.192,-0.403,-0.192
1552341210984,2019-03-11T17.53.30.984,2.480,1.252,-0.112,-0.125
1552341211064,2019-03-11T17.53.31.064,2.560,1.475,-0.369,-0.253
1552341211144,2019-03-11T17.53.31.144,2.640,1.653,-0.388,-0.332
1552341211224,2019-03-11T17.53.31.224,2.720,0.975,-0.202,-0.040
1552341211304,2019-03-11T17.53.31.304,2.800,-0.146,-0.114,-0.222
1552341211384,2019-03-11T17.53.31.384,2.880,-0.190,0.079,-0.043
1552341211464,2019-03-11T17.53.31.464,2.960,0.251,-0.090,0.212
1552341211544,2019-03-11T17.53.31.544,3.040,0.979,-0.989,0.564
1552341211624,2019-03-11T17.53.31.624,3.120,0.269,-2.107,1.974
1552341211704,2019-03-11T17.53.31.704,3.200,-0.732,-1.111,1.256
1552341211784,2019-03-11T17.53.31.784,3.280,-0.482,-0.478,-0.097
1552341211864,2019-03-11T17.53.31.864,3.360,-0.757,-0.659,-0.133
1552341211944,2019-03-11T17.53.31.944,3.440,-0.630,-0.392,0.352
1552341212024,2019-03-11T17.53.32.024,3.520,-0.399,-0.663,0.913
1552341212104,2019-03-11T17.53.32.104,3.600,-0.499,-0.798,0.565
1552341212184,2019-03-11T17.53.32.184,3.680,-0.498,-0.871,0.419
1552341212264,2019-03-11T17.53.32.264,3.760,-0.163,-1.218,0.268
1552341212344,2019-03-11T17.53.32.344,3.840,0.423,-0.798,0.153
1552341212424,2019-03-11T17.53.32.424,3.920,-0.071,-0.834,0.397
1552341212504,2019-03-11T17.53.32.504,4.000,-0.124,-1.104,0.377
1552341212584,2019-03-11T17.53.32.584,4.080,-0.075,-0.849,0.272
1552341212664,2019-03-11T17.53.32.664,4.160,-0.250,-0.875,0.396
1552341212744,2019-03-11T17.53.32.744,4.240,-0.197,-0.932,0.301
1552341212824,2019-03-11T17.53.32.824,4.320,-0.137,-0.920,0.298
1552341212904,2019-03-11T17.53.32.904,4.400,-0.157,-0.896,0.345
1552341212984,2019-03-11T17.53.32.984,4.480,-0.176,-0.913,0.311
1552341213064,2019-03-11T17.53.33.064,4.560,-0.157,-0.924,0.293
1552341213144,2019-03-11T17.53.33.144,4.640,-0.163,-0.907,0.331
1552341213224,2019-03-11T17.53.33.224,4.720,-0.175,-0.896,0.348
1552341213304,2019-03-11T17.53.33.304,4.800,-0.148,-0.904,0.301
1552341213384,2019-03-11T17.53.33.384,4.880,-0.201,-0.907,0.307
1552341213464,2019-03-11T17.53.33.464,4.960,-0.311,-0.888,0.303
1552341213544,2019-03-11T17.53.33.544,5.040,-0.333,-0.877,0.290
1552341213624,2019-03-11T17.53.33.624,5.120,-0.271,-0.866,0.338
1552341213704,2019-03-11T17.53.33.704,5.200,-0.195,-0.885,0.391
1552341213784,2019-03-11T17.53.33.784,5.280,-0.224,-0.862,0.451
1552341213864,2019-03-11T17.53.33.864,5.360,-0.190,-0.800,0.535
1552341213944,2019-03-11T17.53.33.944,5.440,-0.162,-0.811,0.570
1552341214024,2019-03-11T17.53.34.024,5.520,-0.123,-0.841,0.611
1552341214104,2019-03-11T17.53.34.104,5.600,-0.013,-0.783,0.663
1552341214184,2019-03-11T17.53.34.184,5.680,0.085,-0.691,0.649
1552341214264,2019-03-11T17.53.34.264,5.760,0.161,-0.700,0.626
1552341214344,2019-03-11T17.53.34.344,5.840,0.248,-0.692,0.644
1552341214424,2019-03-11T17.53.34.424,5.920,0.372,-0.612,0.644
1552341214504,2019-03-11T17.53.34.504,6.000,0.504,-0.773,0.538
1552341214584,2019-03-11T17.53.34.584,6.080,0.520,-0.828,0.567
1552341214664,2019-03-11T17.53.34.664,6.160,0.549,-0.728,0.489
1552341214744,2019-03-11T17.53.34.744,6.240,0.576,-0.804,0.364
1552341214824,2019-03-11T17.53.34.824,6.320,0.458,-0.939,0.279
1552341214904,2019-03-11T17.53.34.904,6.400,0.270,-0.767,0.198
1552341214984,2019-03-11T17.53.34.984,6.480,0.134,-0.592,0.148
1552341215064,2019-03-11T17.53.35.064,6.560,0.208,-0.737,0.227
1552341215144,2019-03-11T17.53.35.144,6.640,0.325,-0.818,0.338
1552341215224,2019-03-11T17.53.35.224,6.720,0.379,-0.945,0.227
1552341215304,2019-03-11T17.53.35.304,6.800,0.461,-0.927,0.177
1552341215384,2019-03-11T17.53.35.384,6.880,0.408,-0.892,0.253
1552341215464,2019-03-11T17.53.35.464,6.960,0.514,-0.891,0.344
1552341215544,2019-03-11T17.53.35.544,7.040,0.585,-0.773,0.469
1552341215624,2019-03-11T17.53.35.624,7.120,0.572,-0.548,0.522
1552341215704,2019-03-11T17.53.35.704,7.200,0.576,-0.648,0.526
1552341215784,2019-03-11T17.53.35.784,7.280,0.615,-0.639,0.482
1552341215864,2019-03-11T17.53.35.864,7.360,0.674,-0.601,0.443
1552341215944,2019-03-11T17.53.35.944,7.440,0.675,-0.577,0.451
1552341216024,2019-03-11T17.53.36.024,7.520,0.669,-0.604,0.399
1552341216104,2019-03-11T17.53.36.104,7.600,0.702,-0.571,0.374
1552341216184,2019-03-11T17.53.36.184,7.680,0.685,-0.604,0.406
1552341216264,2019-03-11T17.53.36.264,7.760,0.687,-0.583,0.387
1552341216344,2019-03-11T17.53.36.344,7.840,0.708,-0.592,0.378
1552341216424,2019-03-11T17.53.36.424,7.920,0.701,-0.583,0.393
1552341216504,2019-03-11T17.53.36.504,8.000,0.695,-0.576,0.395
1552341216584,2019-03-11T17.53.36.584,8.080,0.695,-0.531,0.395
1552341216664,2019-03-11T17.53.36.664,8.160,0.722,-0.524,0.368
1552341216744,2019-03-11T17.53.36.744,8.240,0.740,-0.473,0.337
1552341216824,2019-03-11T17.53.36.824,8.320,0.795,-0.477,0.308
1552341216904,2019-03-11T17.53.36.904,8.400,0.859,-0.363,0.360
1552341216984,2019-03-11T17.53.36.984,8.480,0.916,-0.374,0.191
1552341217064,2019-03-11T17.53.37.064,8.560,1.038,-0.458,0.039
1552341217144,2019-03-11T17.53.37.144,8.640,0.994,-0.330,0.043
1552341217224,2019-03-11T17.53.37.224,8.720,1.016,-0.257,0.013
1552341217304,2019-03-11T17.53.37.304,8.800,1.091,-0.249,0.016
1552341217384,2019-03-11T17.53.37.384,8.880,1.185,-0.207,0.008
1552341217464,2019-03-11T17.53.37.464,8.960,1.125,-0.172,-0.052
