epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552340147322,2019-03-11T17.35.47.322,0.000,0.998,-0.113,0.005
1552340147402,2019-03-11T17.35.47.402,0.080,1.001,-0.084,0.013
1552340147482,2019-03-11T17.35.47.482,0.160,1.000,-0.076,0.017
1552340147562,2019-03-11T17.35.47.562,0.240,0.999,-0.079,0.016
1552340147642,2019-03-11T17.35.47.642,0.320,1.004,-0.088,0.010
1552340147722,2019-03-11T17.35.47.722,0.400,1.002,-0.093,0.009
1552340147802,2019-03-11T17.35.47.802,0.480,1.003,-0.093,0.008
1552340147882,2019-03-11T17.35.47.882,0.560,1.000,-0.098,0.007
1552340147962,2019-03-11T17.35.47.962,0.640,1.011,-0.117,0.001
1552340148042,2019-03-11T17.35.48.042,0.720,0.993,-0.149,0.005
1552340148122,2019-03-11T17.35.48.122,0.800,0.995,-0.135,0.010
1552340148202,2019-03-11T17.35.48.202,0.880,1.000,-0.120,0.017
1552340148282,2019-03-11T17.35.48.282,0.960,1.009,-0.109,0.009
1552340148362,2019-03-11T17.35.48.362,1.040,0.993,-0.076,-0.016
1552340148442,2019-03-11T17.35.48.442,1.120,0.994,-0.038,-0.017
1552340148522,2019-03-11T17.35.48.522,1.200,0.996,-0.006,0.061
1552340148602,2019-03-11T17.35.48.602,1.280,1.042,-0.053,0.135
1552340148682,2019-03-11T17.35.48.682,1.360,0.993,-0.010,0.070
1552340148762,2019-03-11T17.35.48.762,1.440,0.969,-0.035,0.018
1552340148842,2019-03-11T17.35.48.842,1.520,1.031,0.002,0.027
1552340148922,2019-03-11T17.35.48.922,1.600,1.013,-0.033,0.029
1552340149002,2019-03-11T17.35.49.002,1.680,0.992,-0.086,0.014
1552340149082,2019-03-11T17.35.49.082,1.760,1.009,-0.061,-0.011
1552340149162,2019-03-11T17.35.49.162,1.840,1.016,-0.176,-0.090
1552340149242,2019-03-11T17.35.49.242,1.920,0.883,-0.227,-0.088
1552340149322,2019-03-11T17.35.49.322,2.000,0.897,-0.182,0.006
1552340149402,2019-03-11T17.35.49.402,2.080,1.005,-0.308,-0.032
1552340149482,2019-03-11T17.35.49.482,2.160,0.903,-0.341,-0.077
1552340149562,2019-03-11T17.35.49.562,2.240,0.860,-0.181,-0.096
1552340149642,2019-03-11T17.35.49.642,2.320,0.835,-0.218,-0.148
1552340149722,2019-03-11T17.35.49.722,2.400,0.927,-0.219,-0.190
1552340149802,2019-03-11T17.35.49.802,2.480,0.939,-0.179,-0.127
1552340149882,2019-03-11T17.35.49.882,2.560,0.916,-0.208,-0.094
1552340149962,2019-03-11T17.35.49.962,2.640,0.948,-0.064,-0.120
1552340150042,2019-03-11T17.35.50.042,2.720,0.910,-0.080,-0.067
1552340150122,2019-03-11T17.35.50.122,2.800,0.929,-0.070,-0.001
1552340150202,2019-03-11T17.35.50.202,2.880,0.917,-0.081,0.058
1552340150282,2019-03-11T17.35.50.282,2.960,0.880,-0.175,0.066
1552340150362,2019-03-11T17.35.50.362,3.040,0.993,-0.263,0.063
1552340150442,2019-03-11T17.35.50.442,3.120,1.139,-0.605,0.226
1552340150522,2019-03-11T17.35.50.522,3.200,0.613,-0.521,0.461
1552340150602,2019-03-11T17.35.50.602,3.280,0.574,-0.638,0.602
1552340150682,2019-03-11T17.35.50.682,3.360,0.357,-0.855,1.274
1552340150762,2019-03-11T17.35.50.762,3.440,-0.035,-0.477,1.059
1552340150842,2019-03-11T17.35.50.842,3.520,-0.297,-0.135,1.145
1552340150922,2019-03-11T17.35.50.922,3.600,-0.346,-0.231,0.909
1552340151002,2019-03-11T17.35.51.002,3.680,-0.237,-0.416,0.872
1552340151082,2019-03-11T17.35.51.082,3.760,-0.036,-0.449,0.878
1552340151162,2019-03-11T17.35.51.162,3.840,0.056,-0.565,0.811
1552340151242,2019-03-11T17.35.51.242,3.920,0.095,-0.655,0.738
1552340151322,2019-03-11T17.35.51.322,4.000,0.085,-0.652,0.669
1552340151402,2019-03-11T17.35.51.402,4.080,0.084,-0.635,0.821
1552340151482,2019-03-11T17.35.51.482,4.160,0.088,-0.718,0.773
1552340151562,2019-03-11T17.35.51.562,4.240,-0.017,-0.627,0.724
1552340151642,2019-03-11T17.35.51.642,4.320,-0.013,-0.589,0.777
1552340151722,2019-03-11T17.35.51.722,4.400,0.042,-0.621,0.758
1552340151802,2019-03-11T17.35.51.802,4.480,0.030,-0.591,0.794
1552340151882,2019-03-11T17.35.51.882,4.560,0.002,-0.570,0.824
1552340151962,2019-03-11T17.35.51.962,4.640,0.001,-0.552,0.829
1552340152042,2019-03-11T17.35.52.042,4.720,0.007,-0.554,0.825
1552340152122,2019-03-11T17.35.52.122,4.800,0.004,-0.565,0.813
1552340152202,2019-03-11T17.35.52.202,4.880,-0.002,-0.563,0.813
1552340152282,2019-03-11T17.35.52.282,4.960,0.003,-0.559,0.816
1552340152362,2019-03-11T17.35.52.362,5.040,0.006,-0.559,0.819
1552340152442,2019-03-11T17.35.52.442,5.120,0.005,-0.561,0.816
1552340152522,2019-03-11T17.35.52.522,5.200,-0.001,-0.558,0.823
1552340152602,2019-03-11T17.35.52.602,5.280,0.005,-0.569,0.819
1552340152682,2019-03-11T17.35.52.682,5.360,0.024,-0.585,0.778
1552340152762,2019-03-11T17.35.52.762,5.440,0.030,-0.569,0.809
1552340152842,2019-03-11T17.35.52.842,5.520,0.019,-0.609,0.779
1552340152922,2019-03-11T17.35.52.922,5.600,0.003,-0.609,0.785
1552340153002,2019-03-11T17.35.53.002,5.680,0.071,-0.553,0.843
1552340153082,2019-03-11T17.35.53.082,5.760,0.104,-0.539,0.852
1552340153162,2019-03-11T17.35.53.162,5.840,0.139,-0.554,0.810
1552340153242,2019-03-11T17.35.53.242,5.920,0.155,-0.598,0.790
1552340153322,2019-03-11T17.35.53.322,6.000,0.205,-0.565,0.773
1552340153402,2019-03-11T17.35.53.402,6.080,0.271,-0.500,0.804
1552340153482,2019-03-11T17.35.53.482,6.160,0.329,-0.499,0.790
1552340153562,2019-03-11T17.35.53.562,6.240,0.396,-0.498,0.758
1552340153642,2019-03-11T17.35.53.642,6.320,0.414,-0.525,0.773
1552340153722,2019-03-11T17.35.53.722,6.400,0.447,-0.603,0.770
1552340153802,2019-03-11T17.35.53.802,6.480,0.503,-0.651,0.740
1552340153882,2019-03-11T17.35.53.882,6.560,0.511,-0.684,0.740
1552340153962,2019-03-11T17.35.53.962,6.640,0.481,-0.762,0.555
1552340154042,2019-03-11T17.35.54.042,6.720,0.504,-0.781,0.388
1552340154122,2019-03-11T17.35.54.122,6.800,0.448,-0.718,0.153
1552340154202,2019-03-11T17.35.54.202,6.880,0.320,-0.684,-0.025
1552340154282,2019-03-11T17.35.54.282,6.960,0.161,-0.864,-0.301
1552340154362,2019-03-11T17.35.54.362,7.040,0.374,-0.971,-0.253
1552340154442,2019-03-11T17.35.54.442,7.120,0.319,-0.771,-0.365
1552340154522,2019-03-11T17.35.54.522,7.200,0.265,-0.848,-0.555
1552340154602,2019-03-11T17.35.54.602,7.280,0.247,-0.673,-0.607
1552340154682,2019-03-11T17.35.54.682,7.360,0.224,-0.603,-0.750
1552340154762,2019-03-11T17.35.54.762,7.440,0.384,-0.477,-0.762
1552340154842,2019-03-11T17.35.54.842,7.520,0.554,-0.366,-0.730
1552340154922,2019-03-11T17.35.54.922,7.600,0.559,-0.470,-0.810
1552340155002,2019-03-11T17.35.55.002,7.680,0.551,-0.398,-0.643
1552340155082,2019-03-11T17.35.55.082,7.760,0.565,-0.266,-0.567
1552340155162,2019-03-11T17.35.55.162,7.840,0.796,-0.507,-0.845
1552340155242,2019-03-11T17.35.55.242,7.920,0.681,-0.244,-0.563
1552340155322,2019-03-11T17.35.55.322,8.000,0.737,-0.308,-0.499
1552340155402,2019-03-11T17.35.55.402,8.080,0.905,-0.292,-0.411
1552340155482,2019-03-11T17.35.55.482,8.160,1.002,-0.327,-0.228
1552340155562,2019-03-11T17.35.55.562,8.240,1.029,-0.401,-0.187
1552340155642,2019-03-11T17.35.55.642,8.320,1.039,-0.412,-0.104
1552340155722,2019-03-11T17.35.55.722,8.400,0.983,-0.369,-0.062
1552340155802,2019-03-11T17.35.55.802,8.480,0.995,-0.221,-0.109
1552340155882,2019-03-11T17.35.55.882,8.560,1.013,-0.117,-0.095
