epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552340229249,2019-03-11T17.37.09.249,0.000,0.994,-0.092,0.044
1552340229329,2019-03-11T17.37.09.329,0.080,1.003,-0.097,0.040
1552340229409,2019-03-11T17.37.09.409,0.160,1.000,-0.098,0.043
1552340229489,2019-03-11T17.37.09.489,0.240,0.998,-0.102,0.042
1552340229569,2019-03-11T17.37.09.569,0.320,1.001,-0.106,0.039
1552340229649,2019-03-11T17.37.09.649,0.400,0.999,-0.101,0.046
1552340229729,2019-03-11T17.37.09.729,0.480,0.998,-0.101,0.047
1552340229809,2019-03-11T17.37.09.809,0.560,0.999,-0.103,0.043
1552340229889,2019-03-11T17.37.09.889,0.640,0.997,-0.103,0.040
1552340229969,2019-03-11T17.37.09.969,0.720,1.000,-0.103,0.042
1552340230049,2019-03-11T17.37.10.049,0.800,1.000,-0.097,0.045
1552340230129,2019-03-11T17.37.10.129,0.880,1.000,-0.099,0.042
1552340230209,2019-03-11T17.37.10.209,0.960,0.997,-0.100,0.037
1552340230289,2019-03-11T17.37.10.289,1.040,0.999,-0.095,0.036
1552340230369,2019-03-11T17.37.10.369,1.120,1.004,-0.099,0.030
1552340230449,2019-03-11T17.37.10.449,1.200,1.006,-0.108,0.026
1552340230529,2019-03-11T17.37.10.529,1.280,1.011,-0.118,0.022
1552340230609,2019-03-11T17.37.10.609,1.360,1.010,-0.120,0.030
1552340230689,2019-03-11T17.37.10.689,1.440,1.003,-0.112,0.038
1552340230769,2019-03-11T17.37.10.769,1.520,1.004,-0.121,0.042
1552340230849,2019-03-11T17.37.10.849,1.600,0.987,-0.140,0.056
1552340230929,2019-03-11T17.37.10.929,1.680,1.013,-0.126,0.008
1552340231009,2019-03-11T17.37.11.009,1.760,1.019,-0.202,0.027
1552340231089,2019-03-11T17.37.11.089,1.840,0.959,-0.144,0.165
1552340231169,2019-03-11T17.37.11.169,1.920,0.984,-0.043,0.222
1552340231249,2019-03-11T17.37.11.249,2.000,0.904,-0.157,0.171
1552340231329,2019-03-11T17.37.11.329,2.080,0.871,-0.297,0.167
1552340231409,2019-03-11T17.37.11.409,2.160,0.999,-0.340,0.052
1552340231489,2019-03-11T17.37.11.489,2.240,1.094,-0.184,-0.018
1552340231569,2019-03-11T17.37.11.569,2.320,1.021,0.116,0.023
1552340231649,2019-03-11T17.37.11.649,2.400,1.034,0.083,0.041
1552340231729,2019-03-11T17.37.11.729,2.480,1.000,0.053,0.026
1552340231809,2019-03-11T17.37.11.809,2.560,1.009,-0.000,0.080
1552340231889,2019-03-11T17.37.11.889,2.640,1.008,-0.078,0.050
1552340231969,2019-03-11T17.37.11.969,2.720,1.001,-0.094,0.032
1552340232049,2019-03-11T17.37.12.049,2.800,1.013,-0.054,0.069
1552340232129,2019-03-11T17.37.12.129,2.880,1.002,-0.009,0.062
1552340232209,2019-03-11T17.37.12.209,2.960,1.010,0.008,0.028
1552340232289,2019-03-11T17.37.12.289,3.040,0.990,-0.008,0.004
1552340232369,2019-03-11T17.37.12.369,3.120,0.992,0.006,-0.012
1552340232449,2019-03-11T17.37.12.449,3.200,1.000,0.029,-0.022
1552340232529,2019-03-11T17.37.12.529,3.280,0.979,0.030,-0.051
1552340232609,2019-03-11T17.37.12.609,3.360,0.956,0.000,-0.171
1552340232689,2019-03-11T17.37.12.689,3.440,0.867,-0.187,-0.201
1552340232769,2019-03-11T17.37.12.769,3.520,0.957,-0.263,-0.062
1552340232849,2019-03-11T17.37.12.849,3.600,0.996,-0.315,-0.005
1552340232929,2019-03-11T17.37.12.929,3.680,0.862,-0.100,-0.039
1552340233009,2019-03-11T17.37.13.009,3.760,0.823,-0.054,-0.110
1552340233089,2019-03-11T17.37.13.089,3.840,0.878,-0.284,-0.153
1552340233169,2019-03-11T17.37.13.169,3.920,0.944,-0.143,-0.200
1552340233249,2019-03-11T17.37.13.249,4.000,0.965,-0.134,-0.201
1552340233329,2019-03-11T17.37.13.329,4.080,0.985,-0.136,-0.184
1552340233409,2019-03-11T17.37.13.409,4.160,0.887,-0.132,-0.171
1552340233489,2019-03-11T17.37.13.489,4.240,0.795,-0.263,-0.135
1552340233569,2019-03-11T17.37.13.569,4.320,0.821,-0.154,0.083
1552340233649,2019-03-11T17.37.13.649,4.400,1.135,-0.458,0.358
1552340233729,2019-03-11T17.37.13.729,4.480,1.208,-0.984,0.445
1552340233809,2019-03-11T17.37.13.809,4.560,0.774,-1.014,0.465
1552340233889,2019-03-11T17.37.13.889,4.640,0.513,-0.823,0.326
1552340233969,2019-03-11T17.37.13.969,4.720,0.155,-0.596,0.429
1552340234049,2019-03-11T17.37.14.049,4.800,-0.182,-0.491,0.704
1552340234129,2019-03-11T17.37.14.129,4.880,-0.438,-0.768,0.943
1552340234209,2019-03-11T17.37.14.209,4.960,-0.271,-0.669,0.714
1552340234289,2019-03-11T17.37.14.289,5.040,-0.233,-0.706,0.653
1552340234369,2019-03-11T17.37.14.369,5.120,-0.211,-0.840,0.618
1552340234449,2019-03-11T17.37.14.449,5.200,-0.140,-0.749,0.594
1552340234529,2019-03-11T17.37.14.529,5.280,-0.039,-0.811,0.582
1552340234609,2019-03-11T17.37.14.609,5.360,0.037,-0.863,0.583
1552340234689,2019-03-11T17.37.14.689,5.440,0.015,-0.804,0.544
1552340234769,2019-03-11T17.37.14.769,5.520,-0.052,-0.877,0.502
1552340234849,2019-03-11T17.37.14.849,5.600,-0.093,-0.860,0.475
1552340234929,2019-03-11T17.37.14.929,5.680,-0.100,-0.828,0.502
1552340235009,2019-03-11T17.37.15.009,5.760,-0.083,-0.858,0.456
1552340235089,2019-03-11T17.37.15.089,5.840,-0.074,-0.862,0.454
1552340235169,2019-03-11T17.37.15.169,5.920,-0.080,-0.847,0.482
1552340235249,2019-03-11T17.37.15.249,6.000,-0.088,-0.832,0.514
