epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552341030278,2019-03-11T17.50.30.278,0.000,0.992,-0.128,0.008
1552341030358,2019-03-11T17.50.30.358,0.080,1.001,-0.123,0.019
1552341030438,2019-03-11T17.50.30.438,0.160,0.997,-0.104,0.024
1552341030518,2019-03-11T17.50.30.518,0.240,1.002,-0.111,0.029
1552341030598,2019-03-11T17.50.30.598,0.320,0.997,-0.105,0.031
1552341030678,2019-03-11T17.50.30.678,0.400,0.999,-0.096,0.030
1552341030758,2019-03-11T17.50.30.758,0.480,1.000,-0.095,0.031
1552341030838,2019-03-11T17.50.30.838,0.560,0.999,-0.104,0.031
1552341030918,2019-03-11T17.50.30.918,0.640,1.000,-0.112,0.031
1552341030998,2019-03-11T17.50.30.998,0.720,1.002,-0.118,0.028
1552341031078,2019-03-11T17.50.31.078,0.800,1.000,-0.112,0.034
1552341031158,2019-03-11T17.50.31.158,0.880,0.998,-0.085,0.042
1552341031238,2019-03-11T17.50.31.238,0.960,1.004,-0.083,0.042
1552341031318,2019-03-11T17.50.31.318,1.040,1.006,-0.109,0.035
1552341031398,2019-03-11T17.50.31.398,1.120,1.002,-0.111,0.040
1552341031478,2019-03-11T17.50.31.478,1.200,1.000,-0.116,0.042
1552341031558,2019-03-11T17.50.31.558,1.280,1.000,-0.100,0.058
1552341031638,2019-03-11T17.50.31.638,1.360,0.982,-0.077,0.042
1552341031718,2019-03-11T17.50.31.718,1.440,1.000,-0.093,0.002
1552341031798,2019-03-11T17.50.31.798,1.520,0.968,-0.131,0.009
1552341031878,2019-03-11T17.50.31.878,1.600,1.003,-0.127,0.064
1552341031958,2019-03-11T17.50.31.958,1.680,1.007,-0.111,0.086
1552341032038,2019-03-11T17.50.32.038,1.760,0.977,-0.071,0.027
1552341032118,2019-03-11T17.50.32.118,1.840,0.962,-0.090,-0.014
1552341032198,2019-03-11T17.50.32.198,1.920,0.939,-0.115,-0.061
1552341032278,2019-03-11T17.50.32.278,2.000,0.933,-0.100,-0.124
1552341032358,2019-03-11T17.50.32.358,2.080,0.834,-0.090,-0.138
1552341032438,2019-03-11T17.50.32.438,2.160,0.697,-0.062,-0.160
1552341032518,2019-03-11T17.50.32.518,2.240,0.682,-0.045,0.029
1552341032598,2019-03-11T17.50.32.598,2.320,1.285,-0.250,0.088
1552341032678,2019-03-11T17.50.32.678,2.400,1.685,-0.412,0.123
1552341032758,2019-03-11T17.50.32.758,2.480,1.538,-0.347,0.181
1552341032838,2019-03-11T17.50.32.838,2.560,1.141,-0.379,0.196
1552341032918,2019-03-11T17.50.32.918,2.640,0.492,-0.306,-0.081
1552341032998,2019-03-11T17.50.32.998,2.720,-0.304,0.002,-0.334
1552341033078,2019-03-11T17.50.33.078,2.800,-0.071,0.002,0.285
1552341033158,2019-03-11T17.50.33.158,2.880,0.592,-0.857,0.656
1552341033238,2019-03-11T17.50.33.238,2.960,0.144,-2.309,1.750
1552341033318,2019-03-11T17.50.33.318,3.040,-0.804,0.059,1.113
1552341033398,2019-03-11T17.50.33.398,3.120,-0.569,-0.024,1.167
1552341033478,2019-03-11T17.50.33.478,3.200,-0.280,0.122,1.209
1552341033558,2019-03-11T17.50.33.558,3.280,-0.327,0.024,0.820
1552341033638,2019-03-11T17.50.33.638,3.360,-0.378,-0.222,0.957
1552341033718,2019-03-11T17.50.33.718,3.440,-0.179,-0.244,1.241
1552341033798,2019-03-11T17.50.33.798,3.520,-0.085,-0.195,0.964
1552341033878,2019-03-11T17.50.33.878,3.600,-0.284,-0.261,0.801
1552341033958,2019-03-11T17.50.33.958,3.680,-0.579,-0.264,0.718
1552341034038,2019-03-11T17.50.34.038,3.760,-0.271,-0.126,1.049
1552341034118,2019-03-11T17.50.34.118,3.840,0.437,-0.686,0.987
1552341034198,2019-03-11T17.50.34.198,3.920,0.318,-0.367,0.638
1552341034278,2019-03-11T17.50.34.278,4.000,-0.229,-0.588,0.910
1552341034358,2019-03-11T17.50.34.358,4.080,-0.099,-0.629,0.775
1552341034438,2019-03-11T17.50.34.438,4.160,-0.121,-0.433,0.866
1552341034518,2019-03-11T17.50.34.518,4.240,-0.191,-0.466,0.910
1552341034598,2019-03-11T17.50.34.598,4.320,-0.085,-0.510,0.849
1552341034678,2019-03-11T17.50.34.678,4.400,-0.093,-0.504,0.830
1552341034758,2019-03-11T17.50.34.758,4.480,-0.125,-0.490,0.848
1552341034838,2019-03-11T17.50.34.838,4.560,-0.137,-0.481,0.866
1552341034918,2019-03-11T17.50.34.918,4.640,-0.108,-0.500,0.849
1552341034998,2019-03-11T17.50.34.998,4.720,-0.103,-0.493,0.851
1552341035078,2019-03-11T17.50.35.078,4.800,-0.118,-0.489,0.857
1552341035158,2019-03-11T17.50.35.158,4.880,-0.117,-0.493,0.854
1552341035238,2019-03-11T17.50.35.238,4.960,-0.112,-0.489,0.871
1552341035318,2019-03-11T17.50.35.318,5.040,-0.101,-0.480,0.859
1552341035398,2019-03-11T17.50.35.398,5.120,-0.127,-0.522,0.808
1552341035478,2019-03-11T17.50.35.478,5.200,-0.157,-0.527,0.805
1552341035558,2019-03-11T17.50.35.558,5.280,-0.169,-0.487,0.848
1552341035638,2019-03-11T17.50.35.638,5.360,-0.180,-0.476,0.859
1552341035718,2019-03-11T17.50.35.718,5.440,-0.177,-0.478,0.831
1552341035798,2019-03-11T17.50.35.798,5.520,-0.202,-0.457,0.855
1552341035878,2019-03-11T17.50.35.878,5.600,-0.175,-0.426,0.862
1552341035958,2019-03-11T17.50.35.958,5.680,-0.208,-0.403,0.867
1552341036038,2019-03-11T17.50.36.038,5.760,-0.222,-0.396,0.879
1552341036118,2019-03-11T17.50.36.118,5.840,-0.185,-0.327,0.917
1552341036198,2019-03-11T17.50.36.198,5.920,-0.071,-0.253,1.017
1552341036278,2019-03-11T17.50.36.278,6.000,-0.018,-0.183,1.026
1552341036358,2019-03-11T17.50.36.358,6.080,-0.029,-0.200,0.988
1552341036438,2019-03-11T17.50.36.438,6.160,0.005,-0.257,0.973
1552341036518,2019-03-11T17.50.36.518,6.240,0.039,-0.279,0.986
1552341036598,2019-03-11T17.50.36.598,6.320,0.025,-0.273,0.961
1552341036678,2019-03-11T17.50.36.678,6.400,0.053,-0.295,0.977
1552341036758,2019-03-11T17.50.36.758,6.480,0.108,-0.289,0.969
1552341036838,2019-03-11T17.50.36.838,6.560,0.138,-0.353,0.892
1552341036918,2019-03-11T17.50.36.918,6.640,0.218,-0.458,0.853
1552341036998,2019-03-11T17.50.36.998,6.720,0.271,-0.469,0.837
1552341037078,2019-03-11T17.50.37.078,6.800,0.314,-0.504,0.771
1552341037158,2019-03-11T17.50.37.158,6.880,0.368,-0.621,0.724
1552341037238,2019-03-11T17.50.37.238,6.960,0.385,-0.702,0.650
1552341037318,2019-03-11T17.50.37.318,7.040,0.368,-0.791,0.573
