x,y,z
-0.10199999999999998,-1.7536666666666667,-0.762
-0.0809999999999997,-1.3543333333333332,-0.6246666666666673
-0.22966666666666657,-1.6749999999999998,-0.8286666666666668
-0.23366666666666638,-1.7049999999999998,-0.7626666666666667
-0.23766666666666703,-1.5579999999999998,-0.8646666666666665
