epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1554151831654,2019-04-01T16.50.31.654,6.400,0.294,-0.617,-1.054
1554151831734,2019-04-01T16.50.31.734,6.480,0.998,-1.741,-2.443
1554151831814,2019-04-01T16.50.31.814,6.560,0.345,-1.382,-2.000
1554151831894,2019-04-01T16.50.31.894,6.640,0.759,-2.120,-0.955
1554151831974,2019-04-01T16.50.31.974,6.720,1.582,-3.081,-1.595
1554151832054,2019-04-01T16.50.32.054,6.800,0.568,-0.219,-0.973
1554151832134,2019-04-01T16.50.32.134,6.880,-0.214,4.079,-1.540
1554151832214,2019-04-01T16.50.32.214,6.960,0.352,-0.374,-0.080
1554151832294,2019-04-01T16.50.32.294,7.040,0.010,-0.533,-0.630
1554151832374,2019-04-01T16.50.32.374,7.120,0.713,-1.703,-2.257
1554151832454,2019-04-01T16.50.32.454,7.200,0.278,0.204,-1.595
1554151832534,2019-04-01T16.50.32.534,7.280,-0.570,2.130,0.577
1554151832614,2019-04-01T16.50.32.614,7.360,-0.115,0.133,0.379
1554151832694,2019-04-01T16.50.32.694,7.440,1.779,-2.507,-1.173
1554151832774,2019-04-01T16.50.32.774,7.520,1.497,-3.372,-1.014
1554151832854,2019-04-01T16.50.32.854,7.600,0.282,-1.386,0.217
1554151832934,2019-04-01T16.50.32.934,7.680,0.432,-1.059,0.092
1554151833014,2019-04-01T16.50.33.014,7.760,0.307,-0.538,0.064
1554151833094,2019-04-01T16.50.33.094,7.840,0.140,-0.206,-0.024
1554151833174,2019-04-01T16.50.33.174,7.920,0.221,-0.207,-0.088
1554151833254,2019-04-01T16.50.33.254,8.000,0.483,-1.008,0.097
1554151833334,2019-04-01T16.50.33.334,8.080,0.501,-1.154,0.095
1554151833414,2019-04-01T16.50.33.414,8.160,0.344,-0.755,0.061
1554151833494,2019-04-01T16.50.33.494,8.240,0.258,-0.782,0.083
1554151833574,2019-04-01T16.50.33.574,8.320,0.581,-0.977,-0.048
1554151833654,2019-04-01T16.50.33.654,8.400,0.685,-1.399,-0.189
1554151833734,2019-04-01T16.50.33.734,8.480,0.416,-0.714,-0.085
1554151833814,2019-04-01T16.50.33.814,8.560,0.250,-0.628,-0.031
1554151833894,2019-04-01T16.50.33.894,8.640,0.404,-0.931,-0.127
1554151833974,2019-04-01T16.50.33.974,8.720,0.368,-0.869,-0.124
1554151834054,2019-04-01T16.50.34.054,8.800,0.297,-0.906,0.001
1554151834134,2019-04-01T16.50.34.134,8.880,0.241,-0.773,-0.019
1554151834214,2019-04-01T16.50.34.214,8.960,0.679,-1.135,-0.001
1554151834294,2019-04-01T16.50.34.294,9.040,0.499,-1.038,0.025
1554151834374,2019-04-01T16.50.34.374,9.120,0.359,-0.801,-0.015
1554151834454,2019-04-01T16.50.34.454,9.200,0.369,-0.723,-0.064
1554151834534,2019-04-01T16.50.34.534,9.280,0.510,-0.903,-0.059
1554151834614,2019-04-01T16.50.34.614,9.360,0.354,-0.794,-0.012
1554151834694,2019-04-01T16.50.34.694,9.440,0.194,-0.670,-0.226
1554151834774,2019-04-01T16.50.34.774,9.520,0.436,-1.052,-0.290
1554151834854,2019-04-01T16.50.34.854,9.600,0.581,-1.158,-0.289
1554151834934,2019-04-01T16.50.34.934,9.680,0.344,-1.112,-0.271
1554151835014,2019-04-01T16.50.35.014,9.760,0.201,-0.747,-0.237
1554151835094,2019-04-01T16.50.35.094,9.840,0.166,-0.816,-0.266
1554151835174,2019-04-01T16.50.35.174,9.920,0.174,-0.827,-0.304
1554151835254,2019-04-01T16.50.35.254,10.000,0.075,-0.651,-0.297
1554151835334,2019-04-01T16.50.35.334,10.080,0.026,-0.693,-0.236
1554151835414,2019-04-01T16.50.35.414,10.160,0.124,-1.233,-0.275
1554151835494,2019-04-01T16.50.35.494,10.240,0.085,-1.570,-0.341
1554151835574,2019-04-01T16.50.35.574,10.320,0.125,-1.057,-0.228
1554151835654,2019-04-01T16.50.35.654,10.400,0.106,-0.470,-0.162
1554151835734,2019-04-01T16.50.35.734,10.480,0.305,-0.679,-0.222
1554151835814,2019-04-01T16.50.35.814,10.560,0.559,-1.233,-0.321
1554151835894,2019-04-01T16.50.35.894,10.640,0.410,-0.715,-0.230
1554151835974,2019-04-01T16.50.35.974,10.720,0.268,-0.417,-0.293
1554151836054,2019-04-01T16.50.36.054,10.800,0.560,-0.975,-0.432
1554151836134,2019-04-01T16.50.36.134,10.880,0.638,-1.000,-0.389
1554151836214,2019-04-01T16.50.36.214,10.960,0.557,-0.915,-0.416
1554151836294,2019-04-01T16.50.36.294,11.040,0.496,-0.754,-0.375
1554151836374,2019-04-01T16.50.36.374,11.120,0.443,-0.573,-0.321
1554151836454,2019-04-01T16.50.36.454,11.200,0.359,-0.476,-0.232
1554151836534,2019-04-01T16.50.36.534,11.280,0.371,-0.668,-0.273
1554151836614,2019-04-01T16.50.36.614,11.360,0.595,-0.815,-0.535
1554151836694,2019-04-01T16.50.36.694,11.440,0.711,-0.808,-0.492
1554151836774,2019-04-01T16.50.36.774,11.520,0.785,-0.791,-0.514
1554151836854,2019-04-01T16.50.36.854,11.600,0.689,-0.675,-0.585
1554151836934,2019-04-01T16.50.36.934,11.680,0.631,-0.601,-0.632
1554151837014,2019-04-01T16.50.37.014,11.760,0.531,-0.595,-0.712
1554151837094,2019-04-01T16.50.37.094,11.840,0.535,-0.583,-0.458
1554151837174,2019-04-01T16.50.37.174,11.920,0.372,-0.773,-0.153
1554151837254,2019-04-01T16.50.37.254,12.000,0.363,-0.785,-0.392
1554151837334,2019-04-01T16.50.37.334,12.080,0.283,-0.911,-0.461
1554151837414,2019-04-01T16.50.37.414,12.160,0.118,-1.003,-0.424
1554151837494,2019-04-01T16.50.37.494,12.240,0.077,-0.933,-0.400
1554151837574,2019-04-01T16.50.37.574,12.320,0.062,-0.769,-0.375
1554151837654,2019-04-01T16.50.37.654,12.400,0.137,-0.750,-0.336
1554151837734,2019-04-01T16.50.37.734,12.480,0.257,-0.746,-0.311
1554151837814,2019-04-01T16.50.37.814,12.560,0.307,-0.748,-0.437
1554151837894,2019-04-01T16.50.37.894,12.640,0.561,-0.809,-0.487
1554151837974,2019-04-01T16.50.37.974,12.720,0.592,-0.778,-0.530
1554151838054,2019-04-01T16.50.38.054,12.800,0.680,-0.625,-0.517
1554151838134,2019-04-01T16.50.38.134,12.880,0.741,-0.522,-0.545
1554151838214,2019-04-01T16.50.38.214,12.960,0.714,-0.412,-0.568
1554151838294,2019-04-01T16.50.38.294,13.040,0.593,-0.363,-0.467
1554151838374,2019-04-01T16.50.38.374,13.120,0.584,-0.583,-0.575
1554151838454,2019-04-01T16.50.38.454,13.200,0.733,-0.905,-0.330
1554151838534,2019-04-01T16.50.38.534,13.280,0.526,-0.762,-0.285
1554151838614,2019-04-01T16.50.38.614,13.360,0.488,-0.829,-0.445
1554151838694,2019-04-01T16.50.38.694,13.440,0.420,-0.984,-0.428
1554151838774,2019-04-01T16.50.38.774,13.520,0.357,-0.878,-0.314
1554151838854,2019-04-01T16.50.38.854,13.600,0.310,-0.685,-0.260
1554151838934,2019-04-01T16.50.38.934,13.680,0.304,-0.749,-0.390
1554151839014,2019-04-01T16.50.39.014,13.760,0.339,-0.523,-0.376
1554151839094,2019-04-01T16.50.39.094,13.840,0.426,-0.814,-0.577
1554151839174,2019-04-01T16.50.39.174,13.920,0.646,-1.245,-0.520
1554151839254,2019-04-01T16.50.39.254,14.000,0.438,-0.855,-0.333
1554151839334,2019-04-01T16.50.39.334,14.080,0.294,-0.539,-0.282
1554151839414,2019-04-01T16.50.39.414,14.160,0.397,-0.852,-0.422
1554151839494,2019-04-01T16.50.39.494,14.240,0.448,-1.065,-0.426
1554151839574,2019-04-01T16.50.39.574,14.320,0.303,-0.716,-0.346
1554151839654,2019-04-01T16.50.39.654,14.400,0.244,-0.613,-0.269
1554151839734,2019-04-01T16.50.39.734,14.480,0.294,-1.035,-0.308
1554151839814,2019-04-01T16.50.39.814,14.560,0.320,-0.867,-0.183
1554151839894,2019-04-01T16.50.39.894,14.640,0.301,-0.844,-0.167
1554151839974,2019-04-01T16.50.39.974,14.720,0.370,-0.814,-0.185
1554151840054,2019-04-01T16.50.40.054,14.800,0.415,-0.992,-0.246
1554151840134,2019-04-01T16.50.40.134,14.880,0.553,-1.085,-0.212
1554151840214,2019-04-01T16.50.40.214,14.960,0.498,-0.731,-0.258
1554151840294,2019-04-01T16.50.40.294,15.040,0.453,-0.752,-0.420
1554151840374,2019-04-01T16.50.40.374,15.120,0.452,-0.924,-0.217
1554151840454,2019-04-01T16.50.40.454,15.200,0.448,-0.750,-0.073
1554151840534,2019-04-01T16.50.40.534,15.280,0.405,-0.820,-0.129
1554151840614,2019-04-01T16.50.40.614,15.360,0.359,-0.864,-0.187
1554151840694,2019-04-01T16.50.40.694,15.440,0.422,-0.935,-0.101
1554151840774,2019-04-01T16.50.40.774,15.520,0.464,-0.997,-0.064
1554151840854,2019-04-01T16.50.40.854,15.600,0.378,-0.843,-0.074
1554151840934,2019-04-01T16.50.40.934,15.680,0.207,-0.741,-0.168
1554151841014,2019-04-01T16.50.41.014,15.760,0.278,-1.103,-0.211
1554151841094,2019-04-01T16.50.41.094,15.840,0.324,-0.951,-0.079
1554151841174,2019-04-01T16.50.41.174,15.920,0.288,-0.711,-0.013
1554151841254,2019-04-01T16.50.41.254,16.000,0.354,-0.851,-0.029
1554151841334,2019-04-01T16.50.41.334,16.080,0.394,-0.948,-0.050
1554151841414,2019-04-01T16.50.41.414,16.160,0.514,-0.997,-0.132
1554151841494,2019-04-01T16.50.41.494,16.240,0.468,-0.706,-0.169
1554151841574,2019-04-01T16.50.41.574,16.320,0.351,-0.709,-0.402
1554151841654,2019-04-01T16.50.41.654,16.400,0.602,-1.024,-0.283
1554151841734,2019-04-01T16.50.41.734,16.480,0.704,-0.941,-0.245
1554151841814,2019-04-01T16.50.41.814,16.560,0.501,-0.684,-0.293
1554151841894,2019-04-01T16.50.41.894,16.640,0.522,-0.521,-0.366
1554151841974,2019-04-01T16.50.41.974,16.720,0.646,-0.632,-0.431
1554151842054,2019-04-01T16.50.42.054,16.800,0.574,-0.789,-0.407
1554151842134,2019-04-01T16.50.42.134,16.880,0.148,-0.845,-0.457
1554151842214,2019-04-01T16.50.42.214,16.960,0.046,-0.667,-0.468
1554151842294,2019-04-01T16.50.42.294,17.040,0.059,-0.742,-0.683
1554151842374,2019-04-01T16.50.42.374,17.120,0.132,-0.673,-0.818
1554151842454,2019-04-01T16.50.42.454,17.200,0.187,-0.732,-0.912
1554151842534,2019-04-01T16.50.42.534,17.280,0.099,-0.802,-0.819
1554151842614,2019-04-01T16.50.42.614,17.360,0.055,-0.617,-0.843
1554151842694,2019-04-01T16.50.42.694,17.440,0.068,-0.660,-0.672
1554151842774,2019-04-01T16.50.42.774,17.520,0.109,-0.854,-0.601
1554151842854,2019-04-01T16.50.42.854,17.600,0.196,-0.774,-0.365
1554151842934,2019-04-01T16.50.42.934,17.680,0.380,-0.652,-0.234
1554151843014,2019-04-01T16.50.43.014,17.760,0.292,-0.401,-0.023
1554151843094,2019-04-01T16.50.43.094,17.840,0.429,-0.943,-0.276
1554151843174,2019-04-01T16.50.43.174,17.920,0.618,-1.585,-0.673
1554151843254,2019-04-01T16.50.43.254,18.000,0.362,-0.824,-0.439
1554151843334,2019-04-01T16.50.43.334,18.080,0.234,-0.450,-0.233
1554151843414,2019-04-01T16.50.43.414,18.160,0.263,-0.969,-0.376
1554151843494,2019-04-01T16.50.43.494,18.240,0.446,-1.157,-0.256
1554151843574,2019-04-01T16.50.43.574,18.320,0.381,-0.776,-0.078
1554151843654,2019-04-01T16.50.43.654,18.400,0.301,-0.765,-0.119
1554151843734,2019-04-01T16.50.43.734,18.480,0.396,-0.949,-0.140
1554151843814,2019-04-01T16.50.43.814,18.560,0.433,-0.927,-0.206
1554151843894,2019-04-01T16.50.43.894,18.640,0.364,-0.841,-0.242
1554151843974,2019-04-01T16.50.43.974,18.720,0.361,-0.873,-0.354
1554151844054,2019-04-01T16.50.44.054,18.800,0.585,-0.848,-0.220
1554151844134,2019-04-01T16.50.44.134,18.880,0.402,-0.811,-0.242
1554151844214,2019-04-01T16.50.44.214,18.960,0.308,-0.761,-0.452
1554151844294,2019-04-01T16.50.44.294,19.040,0.341,-0.761,-0.493
1554151844374,2019-04-01T16.50.44.374,19.120,0.200,-0.690,-0.599
1554151844454,2019-04-01T16.50.44.454,19.200,0.143,-0.692,-0.727
1554151844534,2019-04-01T16.50.44.534,19.280,0.120,-0.771,-0.776
1554151844614,2019-04-01T16.50.44.614,19.360,0.091,-0.867,-0.759
