elapsed (s),x-axis (g),y-axis (g),z-axis (g),fall
11.76,0.34,-0.8690000000000001,-0.058,0
11.84,0.342,-0.911,-0.105,0
11.92,0.334,-0.8440000000000001,-0.21,0
12.0,0.29100000000000004,-1.014,-0.256,0
12.08,0.377,-0.978,-0.208,0
12.16,0.456,-0.812,-0.224,0
12.24,0.583,-0.8059999999999999,-0.166,0
12.32,0.565,-0.851,-0.138,0
12.4,0.5329999999999999,-0.8140000000000001,-0.131,0
12.48,0.5489999999999999,-0.8340000000000001,-0.154,0
12.56,0.489,-0.8420000000000001,-0.152,0
12.64,0.483,-0.792,-0.173,0
12.72,0.5,-0.863,-0.2,0
12.8,0.45,-0.919,-0.132,0
12.88,0.328,-0.893,-0.096,0
12.96,0.318,-0.86,-0.094,0
13.04,0.28300000000000003,-0.973,-0.083,0
13.12,0.193,-0.948,-0.08800000000000001,0
13.2,0.156,-0.983,-0.066,0
13.28,0.145,-0.994,-0.016,0
13.36,0.16399999999999998,-0.938,0.021,0
13.44,0.113,-0.945,-0.02,0
13.52,0.122,-0.979,-0.054000000000000006,0
13.6,0.211,-1.01,-0.03,0
13.68,0.274,-1.047,0.012,0
13.76,0.282,-0.8490000000000001,0.05,0
13.84,0.259,-0.911,0.039,0
13.92,0.259,-0.943,0.075,0
14.0,0.254,-0.932,0.108,0
14.08,0.243,-0.937,0.105,0
14.16,0.21,-0.931,0.095,0
14.24,0.218,-0.945,0.134,0
14.32,0.245,-0.94,0.141,0
14.4,0.243,-0.927,0.12,0
14.48,0.274,-0.945,0.097,0
14.56,0.284,-0.94,0.063,0
14.64,0.28600000000000003,-0.927,0.046,0
14.72,0.259,-0.948,0.064,0
14.8,0.229,-0.957,0.077,0
14.88,0.227,-0.948,0.102,0
14.96,0.235,-0.946,0.105,0
15.04,0.255,-0.932,0.103,0
15.12,0.277,-0.8859999999999999,0.095,0
15.2,0.333,-0.845,0.07200000000000001,0
15.28,0.454,-0.96,0.037000000000000005,0
15.36,0.363,-0.95,0.022,0
15.44,0.326,-0.903,-0.015,0
15.52,0.47,-0.932,0.058,0
15.6,0.395,-0.835,-0.026,0
15.68,0.378,-0.88,-0.07400000000000001,0
15.76,0.375,-1.054,-0.052000000000000005,0
15.84,0.312,-0.987,-0.08900000000000001,0
15.92,0.227,-0.91,0.013,0
16.0,0.173,-0.821,-0.061,0
16.08,0.142,-1.01,-0.086,0
16.16,0.16699999999999998,-1.002,-0.027000000000000003,0
16.24,0.062,-0.966,-0.071,0
16.32,0.075,-0.956,-0.061,0
16.4,0.14,-0.956,-0.024,0
16.48,0.116,-0.975,-0.1,0
16.56,0.038,-0.971,-0.092,0
16.64,0.124,-0.977,-0.045,0
16.72,0.271,-0.96,-0.051,0
16.8,0.256,-0.8270000000000001,-0.116,0
16.88,0.345,-0.828,-0.182,0
16.96,0.43,-0.8490000000000001,-0.297,0
17.04,0.44,-0.912,-0.344,0
17.12,0.534,-0.857,-0.342,0
17.2,0.612,-0.792,-0.308,0
17.28,0.596,-0.7759999999999999,-0.294,0
17.36,0.575,-0.737,-0.34600000000000003,0
17.44,0.5820000000000001,-0.755,-0.251,0
17.52,0.495,-0.8059999999999999,-0.182,0
17.6,0.355,-0.807,-0.115,0
17.68,0.245,-1.055,-0.171,0
17.76,0.14800000000000002,-1.085,-0.207,0
17.84,0.12,-0.943,-0.193,0
17.92,0.192,-0.924,-0.168,0
18.0,0.218,-0.888,-0.08,0
18.08,0.061,-0.932,-0.179,0
18.16,0.079,-0.971,-0.24,0
18.24,0.145,-0.994,-0.204,0
18.32,0.182,-0.964,-0.213,0
18.4,0.282,-0.889,-0.187,0
18.48,0.369,-0.914,-0.062,0
18.56,0.465,-0.932,-0.081,0
18.64,0.414,-0.915,-0.073,0
18.72,0.402,-0.8420000000000001,-0.051,0
18.8,0.43,-0.863,-0.022,0
18.88,0.428,-0.94,0.02,0
18.96,0.325,-0.884,-0.006,0
19.04,0.365,-0.901,-0.07400000000000001,0
19.12,0.388,-0.948,-0.073,0
19.2,0.34600000000000003,-0.903,-0.033,0
19.28,0.331,-0.914,0.004,0
19.36,0.32,-0.938,0.032,0
19.44,0.274,-0.938,0.037000000000000005,0
19.52,0.246,-0.91,0.039,0
19.6,0.243,-0.91,0.046,0
19.68,0.233,-0.935,0.051,0
19.76,0.226,-0.949,0.06,0
19.84,0.229,-0.944,0.06,0
19.92,0.243,-0.938,0.042,0
20.0,0.267,-0.942,0.051,0
20.08,0.299,-0.964,0.006999999999999999,0
20.16,0.306,-0.8859999999999999,0.027000000000000003,0
20.24,0.295,-0.921,0.076,0
20.32,0.328,-0.951,0.013,0
20.4,0.305,-0.937,-0.008,0
20.48,0.278,-0.955,-0.015,0
20.56,0.271,-0.943,-0.006,0
20.64,0.257,-0.923,-0.023,0
20.72,0.252,-0.955,-0.071,0
20.8,0.233,-0.946,-0.09,0
20.88,0.171,-0.908,-0.101,0
20.96,0.114,-0.935,-0.125,0
21.04,0.067,-0.917,-0.112,0
21.12,0.034,-0.911,-0.14300000000000002,0
21.2,0.05,-0.836,-0.22,0
21.28,0.051,-0.8320000000000001,-0.343,0
21.36,0.132,-0.7440000000000001,-0.374,0
21.44,0.246,-0.643,-0.412,0
21.52,0.25,-0.386,-0.632,0
21.6,0.189,-0.187,-0.893,0
21.68,0.221,-0.417,-0.636,0
21.76,0.295,-0.441,-0.988,0
21.84,0.551,-0.865,-1.403,0
21.92,0.821,-1.622,-2.24,0
22.0,0.285,-1.135,-1.421,0
22.08,0.987,-2.75,-0.59,0
22.16,0.924,-2.217,-1.45,0
22.24,0.008,0.54,0.037000000000000005,0
22.32,0.093,2.402,-1.791,0
22.4,-0.14300000000000002,-0.459,-0.428,0
22.48,0.211,-1.319,-0.264,0
22.56,0.223,-0.276,-0.585,0
22.64,0.132,0.062,0.18600000000000005,0
22.72,-0.114,0.4320000000000001,0.01,0
22.8,-0.006,-0.025,0.146,0
22.88,0.708,-4.433,-1.389,0
22.96,0.424,-2.724,-0.75,0
23.04,0.273,-1.408,-0.6859999999999999,0
23.12,0.172,-0.625,-0.188,0
23.2,-0.05,0.13,0.05,0
23.28,-0.039,0.135,0.039,0
23.36,-0.047,-0.407,-0.452,0
23.44,1.091,-2.55,0.4,0
23.52,0.328,-1.252,0.062,0
23.6,0.163,-0.172,-0.015,0
23.68,0.338,-0.6859999999999999,-0.033,0
23.76,0.451,-1.27,-0.04,0
23.84,0.36,-0.821,-0.06,0
23.92,0.28800000000000003,-0.957,-0.14,0
24.0,0.157,-1.209,-0.235,0
24.08,0.037000000000000005,-0.924,-0.166,0
24.16,0.085,-0.848,-0.099,0
24.24,0.097,-0.992,-0.044,0
24.32,0.086,-0.887,-0.041,0
24.4,0.098,-0.925,-0.031,0
24.48,0.132,-0.932,-0.029,0
24.56,0.19,-1.021,-0.02,0
24.64,0.282,-1.176,-0.067,0
24.72,0.224,-1.01,-0.12,0
24.8,0.273,-0.748,-0.166,0
24.88,0.312,-0.915,-0.177,0
24.96,0.267,-0.889,-0.07200000000000001,0
25.04,0.27,-0.875,-0.078,0
25.12,0.284,-0.913,-0.053,0
25.2,0.262,-0.934,-0.054000000000000006,0
25.28,0.28300000000000003,-1.05,-0.048,0
25.36,0.25,-1.173,-0.109,0
25.44,0.13699999999999998,-0.8909999999999999,-0.259,0
25.52,0.062,-0.835,-0.278,0
25.6,0.213,-0.93,-0.16699999999999998,0
25.68,0.16,-0.8540000000000001,-0.103,0
25.76,0.121,-0.8959999999999999,-0.098,0
25.84,0.2,-0.782,0.035,0
25.92,0.264,-0.8740000000000001,0.084,0
26.0,0.238,-0.794,0.146,0
26.08,0.127,-0.086,0.124,0
26.16,0.162,-0.507,-0.253,0
26.24,0.333,-1.044,-0.52,0
26.32,0.569,-0.229,-1.209,0
26.4,1.108,-0.513,-2.334,0
26.48,0.752,-0.404,-0.882,0
26.56,0.202,0.327,-0.5670000000000001,1
26.64,0.251,0.454,0.025,1
26.72,0.6859999999999999,0.461,-0.065,1
26.8,0.959,0.366,-0.197,1
26.88,1.157,0.261,0.33,1
26.96,2.478,-0.374,1.042,1
27.04,0.895,-1.075,-0.232,1
27.12,0.227,-0.277,0.184,1
27.2,0.8190000000000001,-0.897,0.733,1
27.28,0.715,-0.5329999999999999,0.513,1
27.36,0.8640000000000001,-0.478,-0.349,1
27.44,1.053,-0.418,-0.331,1
27.52,0.953,-0.35200000000000004,-0.014,1
27.6,0.884,-0.387,-0.055,1
27.68,0.913,-0.419,-0.078,1
27.76,0.919,-0.421,-0.099,1
27.84,0.897,-0.383,-0.081,1
27.92,0.92,-0.386,-0.07400000000000001,1
28.0,0.918,-0.403,-0.08900000000000001,1
28.08,0.917,-0.391,-0.087,1
28.16,0.912,-0.397,-0.083,1
28.24,0.906,-0.409,-0.094,1
28.32,0.92,-0.38,-0.076,1
28.4,0.912,-0.381,-0.078,1
28.48,0.898,-0.403,-0.073,1
28.56,0.916,-0.399,-0.078,1
28.64,0.924,-0.386,-0.08,1
28.72,0.905,-0.389,-0.063,1
28.8,0.909,-0.391,-0.065,1
28.88,0.915,-0.394,-0.071,1
28.96,0.915,-0.393,-0.062,1
29.04,0.913,-0.3720000000000001,-0.055,1
29.12,0.929,-0.384,-0.052000000000000005,1
29.2,0.905,-0.373,-0.06,1
29.28,0.946,-0.458,-0.105,1
29.36,0.879,-0.36,-0.013,1
29.44,0.922,-0.327,-0.028,1
29.52,0.94,-0.43,-0.08900000000000001,1
29.6,0.8859999999999999,-0.4,-0.035,1
29.68,0.937,-0.35600000000000004,-0.053,1
29.76,0.916,-0.399,-0.06,1
29.84,0.911,-0.393,-0.054000000000000006,1
29.92,0.922,-0.377,-0.059,1
30.0,0.921,-0.396,-0.061,1
30.08,0.916,-0.391,-0.057,1
30.16,0.921,-0.385,-0.061,1
30.24,0.916,-0.39,-0.056,1
30.32,0.918,-0.389,-0.055,1
30.4,0.915,-0.39,-0.053,1
30.48,0.916,-0.391,-0.055,1
30.56,0.917,-0.387,-0.049,1
30.64,0.915,-0.391,-0.048,1
30.72,0.914,-0.391,-0.045,1
30.8,0.913,-0.387,-0.044,1
30.88,0.912,-0.389,-0.043,1
30.96,0.917,-0.388,-0.043,1
31.04,0.924,-0.402,-0.038,1
31.12,0.904,-0.4,-0.063,1
31.2,0.921,-0.38,-0.033,1
31.28,0.901,-0.398,-0.04,1
31.36,0.8959999999999999,-0.41,-0.035,1
31.44,0.921,-0.395,-0.042,1
31.52,0.915,-0.392,-0.042,1
31.6,0.907,-0.385,-0.037000000000000005,1
31.68,0.924,-0.374,-0.048,1
31.76,0.919,-0.379,-0.053,1
31.84,0.919,-0.377,-0.077,1
31.92,0.953,-0.35100000000000003,-0.085,1
32.0,0.948,-0.338,-0.068,1
32.08,0.935,-0.334,-0.07400000000000001,1
32.16,0.912,-0.35,-0.067,1
32.24,0.924,-0.335,-0.07,1
32.32,0.936,-0.342,-0.069,1
32.4,0.963,-0.333,-0.08900000000000001,1
32.48,0.945,-0.28300000000000003,-0.094,1
32.56,0.935,-0.305,-0.102,1
32.64,0.938,-0.303,-0.121,1
32.72,0.942,-0.285,-0.124,1
32.8,0.928,-0.28600000000000003,-0.165,1
32.88,0.972,-0.208,-0.188,1
32.96,1.029,-0.139,-0.252,1
33.04,1.161,-0.155,-0.355,1
33.12,1.112,-0.125,-0.499,0
33.2,0.944,-0.152,-0.64,0
33.28,0.649,-0.18,-0.503,0
33.36,0.5760000000000001,-0.165,-0.5589999999999999,0
33.44,0.609,-0.184,-0.601,0
33.52,0.6779999999999999,-0.122,-0.528,0
33.6,0.762,-0.112,-0.674,0
33.68,0.764,-0.018000000000000002,-0.633,0
33.76,0.845,-0.017,-0.57,0
33.84,0.893,-0.012,-0.5529999999999999,0
33.92,0.8590000000000001,0.109,-0.633,0
34.0,0.893,0.147,-0.708,0
34.08,0.904,0.017,-0.711,0
34.16,0.85,-0.073,-0.679,0
34.24,0.81,-0.07200000000000001,-0.623,0
34.32,0.682,-0.208,-0.639,0
34.4,0.401,-0.349,-0.56,0
34.48,0.317,-0.441,-0.833,0
34.56,0.303,-0.409,-0.71,0
34.64,0.298,-0.407,-0.7609999999999999,0
34.72,0.264,-0.393,-0.852,0
34.8,0.343,-0.349,-0.904,0
34.88,0.508,-0.325,-0.933,0
34.96,0.5720000000000001,-0.335,-0.878,0
35.04,0.639,-0.311,-0.916,0
35.12,0.698,-0.353,-0.748,0
35.2,0.746,-0.414,-0.765,0
35.28,0.7190000000000001,-0.321,-0.648,0
35.36,0.696,-0.21600000000000005,-0.589,0
35.44,0.675,-0.111,-0.482,0
35.52,0.637,-0.006999999999999999,-0.506,0
35.6,0.6409999999999999,0.035,-0.607,0
35.68,0.6459999999999999,0.131,-0.695,0
35.76,0.755,0.326,-0.8590000000000001,0
35.84,0.669,0.255,-0.946,0
35.92,0.638,0.147,-0.823,0
36.0,0.662,0.223,-0.7859999999999999,0
36.08,0.594,0.171,-0.8240000000000001,0
36.16,0.59,0.271,-0.8220000000000001,0
36.24,0.635,0.333,-0.78,0
36.32,0.653,0.353,-0.7040000000000001,0
36.4,0.633,0.27,-0.685,0
36.48,0.569,0.093,-0.846,0
36.56,0.436,-0.154,-0.7709999999999999,0
36.64,0.626,0.504,-1.018,0
36.72,0.458,0.444,-1.2009999999999998,0
36.8,0.207,-0.039,-1.224,0
36.88,0.55,-0.039,-1.272,0
36.96,0.965,-0.145,-1.042,0
37.04,0.603,-0.254,-1.14,0
37.12,0.125,-0.405,-1.147,0
37.2,-0.145,-0.422,-1.096,0
37.28,-0.109,-0.403,-0.763,0
37.36,-0.181,-0.463,-0.672,0
37.44,-0.226,-0.574,-0.34,0
37.52,-0.159,-0.522,-0.227,0
37.6,-0.06,-0.583,-0.16899999999999998,0
37.68,0.018000000000000002,-0.755,-0.183,0
37.76,0.34700000000000003,-0.927,-0.28600000000000003,0
37.84,0.391,-0.898,-0.208,0
37.92,0.265,-0.84,-0.345,0
38.0,0.375,-0.857,-0.339,0
38.08,0.273,-0.853,-0.199,0
38.16,0.436,-0.8290000000000001,-0.078,0
38.24,0.349,-0.8590000000000001,-0.123,0
38.32,0.348,-1.0,-0.195,0
38.4,0.301,-0.828,-0.189,0
38.48,0.343,-0.909,-0.271,0
38.56,0.413,-1.127,-0.3670000000000001,0
38.64,0.129,-1.035,-0.578,0
38.72,0.011,-0.7859999999999999,-0.627,0
38.8,0.201,-0.847,-0.321,0
38.88,0.192,-0.746,-0.278,0
38.96,0.204,-0.882,-0.18600000000000005,0
39.04,0.23,-0.929,-0.086,0
39.12,0.138,-1.003,-0.13699999999999998,0
39.2,0.276,-1.253,-0.229,0
39.28,0.339,-0.88,-0.294,0
39.36,0.354,-0.72,-0.338,0
39.44,0.196,-0.897,-0.208,0
39.52,0.303,-0.8009999999999999,-0.201,0
39.6,0.355,-0.8740000000000001,-0.182,0
